host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout,class_label,lens,lsb
PGC35064,112422+385832,171.0954,38.9758,dE,7.75,0.0037579494528472424,"(266, 258)",5657.1884061268975,4531.1864091165135,ugri,4,1,2.0,,1.0
PGC35064,112431+384650,171.131,38.7808,dE,2.77,0.006877640262246132,"(266, 258)",5121.19186594376,752.1157451531681,ugri,4,1,2.0,,1.0
PGC35064,112536+385316,171.4041,38.8879,dE,5.88,0.0064371200278401375,"(266, 258)",1001.5175733669689,2833.422209499673,ugri,4,1,2.0,,1.0
PGC35064,112541+385058,171.4227,38.8497,dE,3.68,,"(266, 258)",718.6432526449607,2093.983480808831,ugri,4,1,2.0,,1.0
,1124290+384744,171.12104,38.79548,UDG,5.65,,"(266, 258)",5271.600811810546,1036.624213423756,ugri,4,1,2.0,,1.0
NGC4736,dw1243p4339,190.9898,43.6618,,14.3845147023273,,"(277, 267)",4244.196180810437,8135.770156467741,ugri,4,1,2.0,,1.0
PGC6848,014828+223951,27.1174,22.6644,UDG,10.47,,"(50, 225)",3970.05445319746,8186.109849426333,u,1,1,2.0,,1.0
PGC39568,121534+660758,183.8926,66.1328,dE,8.56,0.009146755561232567,"(150, 312)",8935.424577767393,7589.293927291623,ugriz,5,1,2.0,,1.0
PGC39568,121840+655201,184.6699,65.867,dE,3.0,0.00925707072019577,"(150, 312)",2817.9480586563855,2427.379036390767,ugriz,5,1,2.0,,1.0
,1216594+655843,184.24743,65.97847,UDG,7.75,,"(150, 312)",6160.204603706763,4584.130971235766,ugriz,5,1,2.0,,1.0
,1217546+660007,184.47731,66.00197,UDG,10.43,,"(150, 312)",4347.332275793045,5038.607440461511,ugriz,5,1,2.0,,1.0
,1054048+511940,163.51999,51.32781,UDG,7.89,,"(204, 283)",9015.183648579616,1672.1970038891318,ugriz,5,1,,,
NGC2880,MATLAS-532,142.2871,61.9755,dE  ,5.3,,"(134, 304)",8883.800471729068,4537.977155303693,giz,3,1,2.0,,1.0
NGC2880,MATLAS-535,142.7398,61.9603,dE  ,4.08,,"(134, 304)",4761.774858167156,4230.7030012757305,giz,3,1,2.0,,1.0
NGC6547,MATLAS-2125,271.389,25.288,dI  ,0.0,0.008602618239820004,"(490, 231)",5937.311782819175,891.8278557997437,u,1,1,2.0,,1.0
NGC6547,MATLAS-2128,271.506,25.5167,dE  ,0.0,,"(490, 231)",3889.3477791028727,5323.893854927888,u,1,1,2.0,,1.0
NGC6547,MATLAS-2130,271.622,25.689,dI  ,0.0,,"(490, 231)",1865.1509733568628,8664.766164671564,u,1,1,2.0,,1.0
NGC6798,MATLAS-2145,290.314,54.0216,dI  ,0.0,,"(341, 288)",2244.0416360381755,5423.296993043503,i,1,1,,,
