host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout,class_label,lens,lsb
,1255076+274407,193.78175,27.73538,UDG,7.12,,"(344, 235)",7194.588202057092,9562.586500659632,u,1,1,,,
,1255554+272736,193.98072,27.46004,UDG,5.77,,"(344, 235)",3778.6802961229823,4225.965554536746,u,1,1,,,
,1256129+273250,194.05386,27.54735,UDG,6.77,,"(344, 235)",2522.957398060541,5919.035378803786,u,1,1,,,
,1256284+273707,194.11822,27.61848,UDG,6.07,,"(344, 235)",1419.4360063516533,7299.043435749752,u,1,1,,,
,0955055+282216,148.77286,28.37108,UDG,7.69,,"(261, 237)",263.10706720307644,2507.116521981336,ui,2,1,,,
,1425268+264135,216.36147,26.69317,UDG,6.09,,"(387, 233)",2498.2368170396508,8744.865709317284,u,1,1,,,
PGC35979,113806+615845,174.5273,61.9794,dE,4.97,,"(164, 304)",6248.765756441038,4602.112887504447,giz,3,1,2.0,,1.0
,0957486+453920,149.45267,45.65546,UDG,7.26,,"(210, 271)",9778.021289050344,8023.179511345051,ugri,4,1,,,
,0958010+451521,149.50403,45.25573,UDG,6.02,,"(210, 271)",9111.387441143565,273.9520202311969,ugri,4,1,,,
,1357303+385200,209.37607,38.86667,UDG,8.36,,"(325, 258)",810.7620217493595,2422.5673527417525,ugi,3,1,,,
PGC42595,124044+743718,190.1868,74.6217,dE,7.91,,"(102, 329)",8361.217701235017,7376.9216020209915,gri,3,1,2.0,,1.0
PGC42595,124609+743455,191.5393,74.5822,BC,3.83,0.03242700174450874,"(102, 329)",1401.669857921137,6614.095058037114,gri,3,1,2.0,,1.0
,1244183+741758,191.07605,74.29942,UDG,5.62,,"(102, 329)",3766.5949297103953,1115.38867150027,gri,3,1,2.0,,1.0
,1244326+742135,191.13596,74.3596,UDG,6.82,,"(102, 329)",3458.2072178823328,2283.011603438204,gri,3,1,2.0,,1.0
PGC34426,111415+192625,168.5658,19.4404,dE,7.16,0.0031637849751859903,"(318, 219)",6994.501210402114,3845.6456073800473,u,1,1,2.0,,1.0
,1314016+371436,198.50682,37.24346,UDG,7.42,,"(317, 254)",4331.722894085286,9718.183789390507,ugri,4,1,,,
,1743494+575505,265.95581,57.91792,UDG,8.16,,"(282, 296)",6260.439019520376,3410.514839955081,ugriz,5,1,,,
,1445145+470122,221.31059,47.02281,UDG,6.17,,"(302, 274)",6288.936748413686,5442.837102820325,gri,3,1,,,
,1621181+560012,245.32558,56.0033,UDG,6.57,,"(274, 292)",1428.3102212875215,5072.468472712085,ugri,4,1,,,
PGC39068,121304+530620,183.2703,53.1057,dE,3.07,0.004300975240767002,"(221, 286)",8966.446592338858,7057.796669552503,ugriz,5,1,2.0,,1.0
PGC39241,121104+463639,182.7679,46.611,dE,4.11,,"(252, 273)",8691.50604399262,7157.559375988461,ugri,4,1,2.0,,1.0
,0156568-002449,29.23686,-0.41366,UDG,7.53,,"(58, 179)",431.38642846316634,6673.113133082208,u,1,1,,,
PGC60025,171643+615101,259.1803,61.8505,dE,6.33,0.010488860309123993,"(243, 304)",1537.9001666969066,2112.926124386556,ugriz,5,1,2.0,,1.0
,1716006+615327,259.00229,61.89093,UDG,5.42,,"(243, 304)",3167.7756125592578,2889.1640200327024,ugriz,5,1,,,
,0801204+283536,120.3348,28.59328,UDG,5.42,,"(212, 237)",9796.310023321874,6813.317822424966,u,1,1,,,
,0850389+331004,132.66212,33.16774,UDG,5.69,,"(223, 246)",9645.698332882974,8256.988725524428,ugri,4,1,,,
,0852477+324944,133.19863,32.82895,UDG,7.81,,"(223, 246)",926.9661158077374,1690.0381893345125,ugri,4,1,2.0,,1.0
,1218520+584626,184.71661,58.77398,UDG,5.34,,"(190, 298)",2345.4584793021518,625.178107201994,giz,3,1,,,
,109,182.0835,2.5055,,3.19,0.0066559952683746815,"(364, 185)",6740.286029113554,5106.643977648658,u,1,1,2.0,,
,1259141+290717,194.80882,29.12138,UDG,5.58,,"(341, 238)",7252.424496983599,7353.494862373803,uri,3,1,,,
,0038477+032055,9.69872,3.34856,UDG,6.39,,"(19, 187)",1499.0016397175777,2065.5658481923456,u,1,1,,,
PGC41333,122411+413451,186.0469,41.5811,BC,3.12,0.002618241822347045,"(279, 263)",8079.528662632907,6575.424071068846,ugri,4,1,2.0,,1.0
,1224293+412452,186.12229,41.41433,UDG,6.44,,"(279, 263)",6991.808494075202,3341.3787802345896,ugri,4,1,,,
,0817557+764835,124.48191,76.80984,UDG,8.33,,"(56, 334)",4954.062240032053,1314.8867856435568,gi,2,1,,,
,1102079+281619,165.53302,28.27199,UDG,5.69,,"(291, 237)",5519.4940651600655,581.4445198166941,ui,2,1,,,
NGC3619,MATLAS-930,169.8699,57.6693,dI  ,3.4,,"(183, 295)",9416.600860533268,8294.746655468289,giz,3,1,2.0,,1.0
NGC3619,MATLAS-954,170.1916,57.4545,dEN ,5.02,,"(183, 295)",6088.902555660737,4119.093621949063,giz,3,1,2.0,,1.0
NGC3619,MATLAS-966,170.376,57.6888,dI  ,0.0,0.005952117498964071,"(183, 295)",4171.823074315841,8659.24994870301,giz,3,1,2.0,,1.0
NGC3619,MATLAS-970,170.448,57.3467,dI  ,0.0,0.0036069226916879416,"(183, 295)",3411.186173610341,2030.9716161690312,giz,3,1,2.0,,1.0
NGC3619,MATLAS-978,170.4849,57.4721,dE  ,4.32,,"(183, 295)",3032.114033992618,4462.06127758948,giz,3,1,2.0,,1.0
PGC34583,112141+572438,170.4217,57.4107,dE,7.89,,"(183, 295)",3688.473883737512,3270.6688282619407,giz,3,1,2.0,,1.0
,1121199+574502,170.33291,57.75069,UDG,7.53,,"(183, 295)",4618.8195612383715,9858.247115882461,giz,3,1,2.0,,1.0
,1121287+574355,170.36949,57.73187,UDG,5.49,,"(183, 295)",4240.158915044618,9493.836620543716,giz,3,1,2.0,,1.0
PGC39241,121405+472608,183.5209,47.4356,dE,5.25,,"(248, 275)",5292.53633260439,3752.036172623689,ugri,4,1,2.0,,1.0
,1458377+243336,224.65708,24.55987,UDG,5.44,,"(409, 229)",6370.563815752905,6160.605542769297,u,1,1,,,
NGC3522,MATLAS-851,167.0797,20.0461,dIN ,4.96,,"(314, 220)",4931.008365279873,5893.371201713156,u,1,1,2.0,,1.0
,0108531+133113,17.22112,13.52015,UDG,9.71,,"(33, 207)",246.73112051826683,5392.932525583565,u,1,1,,,
,0828251+422029,127.10449,42.34127,UDG,5.31,,"(187, 265)",895.598598120835,1930.8819994208588,ugriz,5,1,,,
,1031105+343018,157.79394,34.50495,UDG,22.74,,"(260, 249)",4183.838184781935,5096.132068380594,ugri,4,1,,,
,1031120+343013,157.79989,34.50348,UDG,20.15,,"(260, 249)",4088.8019817998984,5067.695793786708,ugri,4,1,,,
,1630249+741705,247.60379,74.28479,UDG,5.73,,"(132, 329)",1676.0393976645123,847.1166206534208,ugriz,5,1,,,
PGC39791,122159+755551,185.4978,75.931,dE,5.26,,"(90, 332)",7414.972664020518,3673.3307018902465,gri,3,1,2.0,,1.0
PGC39791,122213+755649,185.5581,75.9471,dE,3.66,,"(90, 332)",7128.527261911004,3983.003416785903,gri,3,1,2.0,,1.0
PGC39791,122213+755649,185.5582,75.9471,dE,3.68,,"(90, 332)",7128.056718352831,3982.999813377433,gri,3,1,2.0,,1.0
PGC39791,122245+760106,185.6902,76.0185,dE,3.32,,"(90, 332)",6499.430993421096,5362.577141558407,gri,3,1,2.0,,1.0
PGC39791,122313+760605,185.8049,76.1014,dE,4.96,,"(90, 332)",5956.803929671802,6966.694983453202,gri,3,1,2.0,,1.0
,1220053+760411,185.02227,76.06962,UDG,9.85,,"(90, 332)",9610.001873412235,6387.750117378242,gri,3,1,2.0,,1.0
,1224584+760039,186.24318,76.0109,UDG,7.68,,"(90, 332)",3909.7383309977095,5213.379333461331,gri,3,1,2.0,,1.0
,1211475+272551,182.94791,27.43087,UDG,7.24,,"(325, 235)",9328.54548261167,3664.710799429784,u,1,1,,,
,1743268+592338,265.86182,59.39394,UDG,6.79,,"(270, 299)",6262.17375379704,2945.877509431322,ugriz,5,1,,,
,1616263+573700,244.10943,57.61661,UDG,5.78,,"(262, 295)",1911.1830421218806,7266.558425251682,ugriz,5,1,,,
NGC4736,dw1249p4421,192.3797,44.3595,,8.27023651714548,,"(274, 269)",825.270558158214,2284.924866646988,ugri,4,1,2.0,,1.0
,1155591+481200,178.99612,48.20005,UDG,7.23,,"(240, 276)",9405.481255617808,8886.552449868295,ugri,4,1,,,
NGC2768,MATLAS-455,136.9426,59.7566,dE  ,3.34,0.008249039761722088,"(137, 300)",5560.2685935221025,283.37430811273316,giz,3,1,2.0,,1.0
PGC25915,090859+600346,137.2489,60.0628,dE,11.82,0.0052909934893250465,"(137, 300)",2592.868370831797,6221.530242203458,giz,3,1,2.0,,1.0
PGC25915,090904+594536,137.2681,59.7602,dE,7.79,,"(137, 300)",2383.420656678742,358.18618973781304,giz,3,1,2.0,,1.0
,0907519+595526,136.96614,59.92388,UDG,7.95,,"(137, 300)",5328.8408118203915,3524.9564996286863,giz,3,1,2.0,,1.0
,0155153+054058,28.81361,5.68282,UDG,7.86,,"(57, 191)",1494.2901200966053,8543.424895326782,u,1,1,,,
,0155169+052419,28.8206,5.40535,UDG,5.36,,"(57, 191)",1357.7967052908725,3166.3446612551224,u,1,1,,,
,1121534+520840,170.47257,52.1445,UDG,5.6,,"(210, 284)",5900.261536558743,7800.735765906997,ugri,4,1,,,
M81,kdg64,151.7579,67.8275,,54.6516030956642,0.050391484051942825,"(114, 316)",7938.0593345526495,1666.6571447083738,giz,3,1,2.0,,1.0
,0014281+051423,3.61694,5.2396,UDG,5.67,,"(7, 190)",3001.276669431607,9643.39174213678,u,1,1,,,
,1350067+350006,207.52804,35.0017,UDG,10.78,,"(340, 250)",5057.782736028812,5032.945291161159,ugri,4,1,,,
PGC59742,170954+720450,257.4777,72.0808,dE,6.47,,"(159, 324)",3746.126421694512,6568.010767687618,ugriz,5,1,2.0,,1.0
PGC59742,171036+720410,257.6535,72.0696,dE,6.32,0.01898599974811077,"(159, 324)",2696.5492733474957,6356.160690784251,ugriz,5,1,2.0,,1.0
,1709412+721027,257.42169,72.17409,UDG,6.04,,"(159, 324)",4084.7113137868055,8374.86735873546,ugriz,5,1,,,
,1710341+720230,257.64201,72.04172,UDG,8.93,,"(159, 324)",2761.738455427287,5815.451054560222,ugriz,5,1,2.0,,1.0
,1711073+714945,257.7804,71.82907,UDG,5.62,,"(159, 324)",1899.784129775363,1700.7307594562308,ugriz,5,1,,,
,1712128+721053,258.05315,72.18152,UDG,7.74,,"(159, 324)",340.6015353103903,8548.098461744517,ugriz,5,1,2.0,,1.0
,0830126+440456,127.55246,44.08227,UDG,6.45,,"(184, 268)",9769.123851603763,6604.22769278895,ugriz,5,1,,,
NGC2549,MATLAS-357,124.8246,58.3139,dE  ,2.94,,"(130, 297)",700.9001253268716,1407.045406964061,ugriz,5,1,2.0,,1.0
,2234195+250432,338.58134,25.07562,UDG,5.8,,"(614, 230)",7732.597261552124,6467.011471123749,ur,2,1,,,
,2357002+171232,359.25091,17.20882,UDG,5.38,,"(687, 214)",3967.2101218970356,9046.881887072177,u,1,1,,,
,2357019+164652,359.25794,16.78124,UDG,5.78,,"(687, 214)",3834.4175661242343,760.821791474481,u,1,1,,,
,0123525+015301,20.96893,1.88365,UDG,6.13,,"(42, 184)",5849.705996436086,2745.265166261074,u,1,1,,,
,1158259+485737,179.60785,48.96035,UDG,7.29,,"(236, 278)",8232.045954808145,4237.027802739784,ugriz,5,1,,,
,1550572+424030,237.73852,42.67492,UDG,5.59,,"(351, 265)",9266.47497585803,8397.336196750328,ugri,4,1,,,
PGC61128,175713+182428,269.3051,18.4079,dE,2.6,,"(511, 217)",7163.920220004715,3215.897673909958,u,1,1,2.0,,1.0
,0100485+165351,15.20224,16.89751,UDG,5.35,,"(29, 214)",4263.692662773015,3013.9220545458684,u,1,1,,,
PGC4801,012158+035815,20.4946,3.9711,dE,3.11,,"(41, 188)",6072.1563607040325,4439.983836384859,u,1,1,2.0,,1.0
,0121575+040346,20.48971,4.06289,UDG,10.5,,"(41, 188)",6166.561390526867,6218.787045342675,u,1,1,,,
PGC40692,122941+305639,187.4209,30.9443,dE,7.17,,"(321, 242)",2070.763485371093,3922.907933931654,ugri,4,1,2.0,,1.0
,1038133+445013,159.55522,44.83693,UDG,9.67,,"(226, 270)",8448.045033599705,1845.1872737272124,ugri,4,1,,,
,1506221+462031,226.59225,46.34189,UDG,5.74,,"(312, 273)",5470.099431163358,1936.0885618340944,gri,3,1,,,
,1346128+210040,206.55315,21.01118,UDG,6.64,,"(386, 222)",8217.104158433714,5218.44691557315,u,1,1,,,
,1424263+500700,216.10941,50.11668,UDG,6.37,,"(278, 280)",6692.49004845246,7262.684273674424,ugriz,5,1,,,
,1356532+640226,209.22169,64.04066,UDG,7.46,,"(183, 308)",805.7011218326061,5804.220815064413,ugriz,5,1,,,
,1205125+365642,181.302,36.94513,UDG,5.35,,"(290, 254)",8990.785517822289,3942.06957476581,ugri,4,1,,,
NGC3694,MATLAS-1064,172.1835,35.1037,dE  ,5.02,,"(282, 250)",4139.386573268961,7009.835170578818,ugri,4,1,2.0,,1.0
PGC26648,092834+490549,142.1436,49.097,dE,3.76,,"(187, 278)",9746.49670314603,6891.472062553137,gri,3,1,2.0,,1.0
,0109012+023012,17.25501,2.50347,UDG,6.3,,"(34, 185)",376.4156693277655,5067.66589429796,u,1,1,,,
,2353348-004738,358.39511,-0.79401,UDG,7.02,,"(717, 178)",8090.668189657721,8991.830318296372,u,1,1,,,
,1238402+391541,189.66767,39.26134,UDG,5.86,,"(293, 259)",7873.333465586265,378.028588701899,ugri,4,1,,,
,0130119+064713,22.54964,6.78706,UDG,5.65,,"(45, 194)",7296.326066344637,873.7070746416348,u,1,1,,,
NGC2543,NSA-162577,123.2432,36.1984,,,0.008299999870359898,"(199, 252)",1020.9944945392867,8850.019539934827,ugri,4,1,2.0,,
,0731018+415007,112.75733,41.83523,UDG,7.32,,"(168, 264)",8982.473031402857,1813.3129745144229,ugriz,5,1,,,
,0940111+820432,145.04624,82.07548,UDG,5.65,,"(40, 344)",1419.3369810024697,6504.207900833075,r,1,1,,,
,1258371+590702,194.65468,59.11728,UDG,5.58,,"(201, 298)",9739.933044060084,7289.684395721245,ugiz,4,1,,,
PGC43451,125033+252432,192.6406,25.4092,dE,6.32,0.032387636601924896,"(348, 231)",7432.53008993613,3241.6543943687816,u,1,1,2.0,,1.0
,1812012+443633,273.00511,44.60927,UDG,8.58,,"(389, 269)",724.9293393607477,7125.6605066113025,ugriz,5,1,,,
NGC4036,MATLAS-1157,180.679,62.4972,dI  ,0.0,,"(167, 305)",6390.033895358548,4947.410144455097,giz,3,1,2.0,,1.0
NGC4036,MATLAS-1171,181.3403,62.3161,dE  ,2.28,,"(167, 305)",444.5585184678166,1454.008232898438,giz,3,1,2.0,,1.0
,0954564+374324,148.73485,37.72347,UDG,6.01,,"(236, 255)",5013.716625918922,9330.63904444529,ugri,4,1,,,
,1303312+285717,195.87987,28.95459,UDG,6.74,,"(343, 238)",8482.106552537878,4123.021999350611,uri,3,1,,,
,1304223+284552,196.09279,28.7644,UDG,6.36,0.01837938092648983,"(343, 238)",4871.446778989814,434.29450298602023,uri,3,1,2.0,,
,1304401+284718,196.16707,28.78835,UDG,5.34,,"(343, 238)",3609.9096270585933,898.9018237347318,uri,3,1,,,
,1704087+415021,256.03632,41.83905,UDG,6.61,,"(381, 264)",9428.30444634036,1888.8539135645965,ugri,4,1,,,
PGC28670,095526+755232,148.8598,75.8756,dE,2.91,,"(72, 332)",4756.728767254896,2589.3590343554133,gri,3,1,2.0,,1.0
PGC28670,095608+754840,149.0368,75.8112,dE,3.6,,"(72, 332)",3914.866222605689,1343.3356816500745,gri,3,1,2.0,,1.0
,0804589+274901,121.24531,27.81685,UDG,5.73,,"(214, 236)",3966.2265166247284,1450.9846217727027,u,1,1,,,
,1533534+433404,233.4724,43.56787,UDG,5.32,,"(339, 267)",7808.821081821024,6318.630325021784,ugri,4,1,,,
,1241111+351148,190.29634,35.19673,UDG,9.66,,"(312, 250)",7288.2606655000955,8814.101634462162,ugri,4,1,,,
,1152572+570656,178.23839,57.11542,UDG,5.31,,"(194, 294)",3539.790043383315,7238.208088048267,giz,3,1,,,
,1754004+454409,268.50158,45.73571,UDG,14.35,,"(376, 271)",1232.1889557214558,9574.400483588932,ugriz,5,1,,,
,1015125+455736,153.80189,45.96004,UDG,6.29,,"(214, 272)",8107.332212451569,4230.112719082968,ugri,4,1,,,
,0908200+774201,137.08322,77.7003,UDG,8.52,,"(59, 335)",1753.0512781564303,8903.397859046116,griz,4,1,,,
,1819333+405830,274.88859,40.97506,UDG,11.18,,"(415, 262)",5755.050433740499,4516.911586467651,i,1,1,,,
NGC2950,MATLAS-540,145.008,58.5354,dE  ,0.0,0.07907500118017197,"(152, 297)",9520.961977443032,5701.055986870795,griz,4,1,2.0,,1.0
NGC2950,MATLAS-548,145.2689,58.4219,dE  ,3.9,,"(152, 297)",6887.984875562276,3489.1133596892587,griz,4,1,2.0,,1.0
NGC2950,MATLAS-565,145.846,58.5246,dI  ,0.0,0.004484169185161591,"(152, 297)",1043.1600999226862,5488.238900964369,griz,4,1,2.0,,1.0
,1112525+724859,168.2186,72.81626,UDG,8.87,,"(98, 326)",1429.0586034787138,1457.8663307449242,giz,3,1,,,
,1249122+353645,192.30065,35.61258,UDG,11.97,,"(313, 251)",3936.7467640029636,7182.0511797436975,ugri,4,1,,,
,0207370+020357,31.90425,2.06582,UDG,8.76,,"(64, 184)",7232.083406302574,6275.604879554858,u,1,1,,,
,0208268+020454,32.11158,2.08168,UDG,8.26,,"(64, 184)",3216.8642035128178,6582.926871433574,u,1,1,,,
,1429374+273143,217.40568,27.52862,UDG,9.9,,"(386, 235)",8076.714783027435,5556.847745841296,u,1,1,,,
,2323089+251319,350.78694,25.22193,UDG,6.26,,"(636, 230)",6529.4251079977685,9301.291085797424,ur,2,1,,,
,0919417+505844,139.92377,50.97878,UDG,7.17,,"(176, 282)",3897.188267701151,4589.454176633586,griz,4,1,2.0,,1.0
,1812354+591142,273.14753,59.19505,UDG,5.44,,"(281, 298)",1505.0009371058404,8789.10706258525,ugriz,5,1,,,
,1109576+283026,167.49011,28.50724,UDG,7.38,,"(294, 237)",1256.7159603087734,5143.730719032348,ui,2,1,,,
,1133197+573031,173.33193,57.5085,UDG,6.35,,"(186, 295)",2458.4973061806813,5169.288430893781,giz,3,1,,,
,1401354+342705,210.3974,34.45152,UDG,5.32,,"(347, 249)",7055.223840440597,4061.812528791615,ugri,4,1,,,
,1402069+344422,210.52881,34.73958,UDG,6.28,,"(347, 249)",4955.444779012783,9642.839803961162,ugri,4,1,,,
,0154184+002233,28.57671,0.37573,UDG,5.33,,"(57, 181)",3534.4976178704073,2591.7787463528225,u,1,1,,,
,0820395+625412,125.16441,62.90328,UDG,6.75,,"(114, 306)",8432.621951683108,3136.0352535635793,ugiz,4,1,,,
,1208140+251920,182.0585,25.32233,UDG,5.3,,"(329, 231)",8428.891072814933,1559.4336971929479,u,1,1,,,
,0918331+772427,139.63807,77.40741,UDG,10.38,,"(60, 335)",643.0937187175596,3243.968564657719,griz,4,1,,,
NGC5355,MATLAS-1596,207.7717,40.4189,dE  ,3.87,,"(316, 261)",5177.72274553187,3428.377106999934,ugi,3,1,2.0,,1.0
NGC5355,MATLAS-1601,207.8455,40.3373,dE  ,4.28,,"(316, 261)",4087.793085856555,1847.3523331505166,ugi,3,1,2.0,,1.0
NGC5355,MATLAS-1603,207.8626,40.5975,dE  ,4.66,,"(316, 261)",3839.705238418289,6889.970360357011,ugi,3,1,2.0,,1.0
NGC5355,MATLAS-1613,208.0968,40.34,dE  ,6.36,,"(316, 261)",375.85415858489705,1907.535262480028,ugi,3,1,2.0,,1.0
PGC49514,135126+403511,207.8594,40.5864,dE,4.53,,"(316, 261)",3886.607087533447,6674.821965057463,ugi,3,1,2.0,,1.0
PGC49514,135139+404414,207.9137,40.7374,dE,4.24,0.0067580086179077625,"(316, 261)",3091.788864045686,9602.004555810789,ugi,3,1,2.0,,1.0
PGC49514,135206+401945,208.0275,40.3293,dE,2.88,,"(316, 261)",1398.9222723311705,1696.9585669903067,ugi,3,1,2.0,,1.0
PGC49514,135219+401935,208.083,40.3265,dE,3.2,,"(316, 261)",578.8090283644478,1645.211393526702,ugi,3,1,2.0,,1.0
,1351169+403102,207.82054,40.51729,UDG,5.78,,"(316, 261)",4457.947505257289,5335.175366908477,ugi,3,1,2.0,,1.0
,1352005+402236,208.00215,40.37657,UDG,8.97,,"(316, 261)",1775.697398487102,2612.031807204299,ugi,3,1,2.0,,1.0
PGC9510,022801+253131,37.0065,25.5255,dE,8.62,0.024925999343395233,"(67, 231)",6907.991830033302,5494.946428984725,u,1,1,2.0,,1.0
PGC9510,022918+252551,37.3252,25.431,dE,4.86,,"(67, 231)",1331.842573897196,3665.7319732421415,u,1,1,2.0,,1.0
,1202370+013027,180.65426,1.50758,UDG,9.04,,"(361, 183)",3210.2740803058023,5146.9305076139835,u,1,1,,,
,1139474+313858,174.94752,31.64958,UDG,7.94,,"(298, 243)",1763.4229776472098,7901.619673013169,ugri,4,1,,,
,1319446+315734,199.936,31.95937,UDG,6.54,,"(339, 244)",3927.012153300864,4212.956024820092,ugri,4,1,,,
,1243440+295603,190.93328,29.93419,UDG,12.7,,"(331, 240)",7849.226950670594,3726.774861624236,ugri,4,1,,,
NGC3757,MATLAS-1072,174.103,58.2903,dI  ,0.0,,"(182, 297)",5612.765102572954,936.4868339258742,giz,3,1,2.0,,1.0
PGC36025,113758+582255,174.4955,58.382,dE,4.98,,"(182, 297)",1623.5698260512845,2721.6179566953506,giz,3,1,2.0,,1.0
,1135283+581631,173.86784,58.27529,UDG,8.96,,"(182, 297)",8009.3704207632945,651.9275553995585,giz,3,1,2.0,,1.0
,1135533+582254,173.9722,58.38153,UDG,8.08,,"(182, 297)",6940.063424255478,2706.92396226319,giz,3,1,2.0,,1.0
,1716001+274954,259.00028,27.83159,UDG,13.63,,"(457, 236)",1435.0191854499058,1739.4007992610154,ui,2,1,,,
PGC39414,121804+705653,184.5191,70.9482,dE,2.39,,"(120, 322)",3571.0762956526487,3998.831911086477,griz,4,1,2.0,,1.0
PGC39414,121829+704512,184.6245,70.7536,dE,3.83,,"(120, 322)",2883.7314878655534,230.7702789678715,griz,4,1,2.0,,1.0
,0912572+451504,138.23844,45.25107,UDG,5.98,,"(194, 271)",7090.439879015437,177.94938510887005,ugri,4,1,,,
,1030070+621310,157.52903,62.2194,UDG,6.34,,"(148, 304)",5858.079065394333,9252.394808181934,griz,4,1,,,
NGC2549,MATLAS-347,124.136,58.1901,dE  ,24.6,,"(132, 296)",9201.062847577785,8696.767789632699,ugriz,5,1,2.0,,1.0
NGC2549,MATLAS-348,124.2205,58.0489,dEN ,6.29,,"(132, 296)",8351.153336340432,5955.7400992876965,ugriz,5,1,2.0,,1.0
NGC2549,MATLAS-349,124.443,58.149,dI  ,0.0,,"(132, 296)",6066.36682935829,7888.29634826898,ugriz,5,1,2.0,,1.0
NGC2549,MATLAS-351,124.552,57.9697,dE  ,3.16,,"(132, 296)",4951.430152340101,4412.819043028243,ugriz,5,1,2.0,,1.0
NGC2549,MATLAS-353,124.5697,58.0192,dE  ,4.71,,"(132, 296)",4769.828360289489,5372.114325148152,ugriz,5,1,2.0,,1.0
NGC2549,MATLAS-354,124.6103,57.7939,dE  ,5.3,,"(132, 296)",4349.0460076953805,1006.2812946354898,ugriz,5,1,2.0,,1.0
NGC2549,MATLAS-356,124.7066,57.9889,dE  ,2.91,,"(132, 296)",3363.3326424166326,4786.823074912354,ugriz,5,1,2.0,,1.0
NGC2549,MATLAS-358,124.844,57.9862,dI  ,0.0,0.09873499721288681,"(132, 296)",1951.6672725380654,4739.263296505348,ugriz,5,1,2.0,,1.0
NGC2549,MATLAS-359,124.9989,58.1234,dEN ,5.43,,"(132, 296)",378.1202792284712,7406.836432729018,ugriz,5,1,2.0,,1.0
,1141584+644409,175.49324,64.73573,UDG,5.51,,"(151, 309)",4005.0740731963533,9569.173421356023,griz,4,1,,,
NGC7457,MATLAS-2165,344.815,30.6312,dI  ,0.0,,"(594, 241)",3013.2574478830784,7543.576975743352,ugr,3,1,2.0,,1.0
NGC7457,MATLAS-2166,344.8234,30.3219,dE  ,6.35,,"(594, 241)",2866.4153070646685,1549.7943740432147,ugr,3,1,2.0,,1.0
PGC49514,135340+411507,208.4186,41.2522,dE,3.45,0.009371058084070683,"(312, 263)",3126.6096634892706,199.24895340845615,gi,2,1,2.0,,1.0
NGC6547,MATLAS-2123,271.193,24.852,dI  ,0.0,,"(492, 230)",9184.557803905944,2135.55917163812,u,1,1,2.0,,1.0
NGC6547,MATLAS-2124,271.3416,24.8099,dIN ,5.78,,"(492, 230)",6572.027989432108,1316.5599244783953,u,1,1,2.0,,1.0
NGC4251,MATLAS-1224,184.0704,28.7364,dE  ,4.92,,"(324, 237)",9559.007160958688,9586.344964405596,ui,2,1,2.0,,1.0
PGC39492,121748+282828,184.4525,28.4745,dE,9.05,5.700675010681152,"(324, 237)",3061.37250118574,4506.75432095423,ui,2,1,2.0,,1.0
,1217185+283421,184.3269,28.57237,UDG,6.08,,"(324, 237)",5200.74372281026,6402.466231834175,ui,2,1,2.0,,1.0
,1217377+283520,184.40716,28.58881,UDG,10.29,,"(324, 237)",3834.9892752011374,6721.380222058862,ui,2,1,2.0,,1.0
,1217450+281726,184.43738,28.2906,UDG,7.28,,"(324, 237)",3316.0085480933767,942.7142647594401,ui,2,1,2.0,,1.0
,1218293+283846,184.62189,28.6462,UDG,13.7,,"(324, 237)",183.69133912990947,7838.916839584893,ui,2,1,2.0,,1.0
,0914526+293504,138.71918,29.58457,UDG,12.06,,"(241, 239)",449.1743388560071,6644.17474153972,ur,2,1,,,
NGC3610,MATLAS-894,169.215,59.2048,dE  ,11.49,,"(174, 298)",2068.6899457426,8975.320856283734,giz,3,1,2.0,,1.0
PGC34566,111653+590757,169.2245,59.1328,dE,3.93,0.005610236432403326,"(174, 298)",1968.0700927069456,7580.456722072009,giz,3,1,2.0,,1.0
,0045498+295605,11.4574,29.93467,UDG,6.23,,"(20, 240)",6504.808766777727,3734.558936612042,ugr,3,1,,,
,1207441+485121,181.9339,48.85584,UDG,6.05,,"(239, 278)",7733.002478944871,2210.1724058932746,gri,3,1,,,
,0113177-001417,18.32377,-0.23794,UDG,6.74,,"(37, 180)",8415.165543593286,388.92105677423115,u,1,1,,,
,0113377+000344,18.40696,0.06228,UDG,5.46,,"(37, 180)",6803.020367974009,6206.923926206657,u,1,1,,,
,0114229-000025,18.59527,-0.00702,UDG,7.51,,"(37, 180)",3153.7644262546924,4863.959486041437,u,1,1,,,
PGC39724,122317+290718,185.8245,29.1219,dE,8.32,,"(325, 238)",4501.197492208781,7362.361656943542,uri,3,1,2.0,,1.0
,1223083+290248,185.78462,29.04659,UDG,8.02,,"(325, 238)",5176.464037887504,5902.873905822203,uri,3,1,2.0,,1.0
,0945418+335146,146.42425,33.86267,UDG,7.88,,"(243, 248)",7111.749088333127,2340.0293561796757,ugri,4,1,,,
,1228580+555041,187.24183,55.8447,UDG,5.51,,"(209, 292)",1024.9196218831403,2000.9274151357372,griz,4,1,,,
,1525456+702909,231.4402,70.48581,UDG,7.22,,"(155, 321)",9725.36199621511,4753.385826217617,ugriz,5,1,,,
PGC34989,112316+534713,170.8169,53.7872,BC,4.0,0.009318903088569641,"(201, 288)",6876.617365513038,878.3033675999013,ugriz,5,1,2.0,,1.0
NGC3245,MATLAS-714,156.414,28.6802,dE  ,0.0,,"(275, 237)",5787.379784081473,8492.253495433477,ui,2,1,2.0,,1.0
