name,host,radeg,dedeg,rproj,gmag,e_gmag,rimag,e_rimag,Mgmag,MVmag,e_MVmag,logMstar,e_logMstar,mu0V,e_mu0V,re,e_re,ETG,confirmed,Psat,filter,telescope,bad,dist,rearcsec,mueg,host_ra,host_dec,host_dist,host_alt_id,iso
dw0239p3902,NGC1023,39.946,39.0473,21.9,20.58,0.09,19.76,0.08,-9.51,-9.82,0.09,6.03,0.15,24.72,0.07,284.5,15.8,True,True,1.0,gi,CFHT,nan,10.4,5.64253243871739,26.3428450042375,40.100056,39.06324,10.4,nan,1.0
UGC2157,NGC1023,40.1044,38.563,90.8,14.24,0.03,13.59,0.03,-15.84,-16.11,0.03,8.35,0.1,21.17,0.08,1519.9,41.6,False,True,1.0,gi,CFHT,nan,10.4,30.1444112291369,23.6415087106616,40.100056,39.06324,10.4,nan,1.0
dw0240p3854,NGC1023,40.1374,38.9004,30.0,16.78,0.03,16.37,0.04,-13.3,-13.47,0.03,7.01,0.1,21.09,0.03,318.8,3.3,False,True,1.0,gi,CFHT,nan,10.4,6.32280963567095,22.790025214064,40.100056,39.06324,10.4,nan,1.0
dw0240p3903,NGC1023,40.1544,39.0593,7.7,14.91,0.09,12.23,0.09,-15.18,-15.48,0.09,8.21,0.12,21.97,0.09,2047.4,0.1,False,True,1.0,gi,CFHT,yes,10.4,40.6063998898721,24.958447117825,40.100056,39.06324,10.4,nan,1.0
dw0240p3922,NGC1023,40.1649,39.3792,58.1,16.68,0.07,16.43,0.08,-13.41,-13.52,0.07,6.84,0.11,22.45,0.05,642.2,53.4,False,True,1.0,gi,CFHT,yes,10.4,12.7368517695694,24.2107851545162,40.100056,39.06324,10.4,nan,1.0
dw0241p3904,NGC1023,40.2512,39.0727,21.4,15.56,0.03,15.15,0.03,-14.53,-14.69,0.03,7.49,0.1,22.64,0.02,980.6,25.9,False,True,1.0,gi,CFHT,yes,10.4,19.4483911929335,24.0098930892395,40.100056,39.06324,10.4,nan,1.0
UGC2165,NGC1023,40.3145,38.7441,65.4,14.04,0.04,13.15,0.04,-16.05,-16.38,0.04,8.72,0.12,21.05,0.01,1484.5,40.3,True,True,1.0,gi,CFHT,nan,10.4,29.4423175763677,23.3903346460363,40.100056,39.06324,10.4,nan,1.0
dw0242p3838,NGC1023,40.6028,38.6352,105.3,20.6,0.17,20.62,0.19,-9.49,-9.48,0.17,4.93,0.16,25.51,0.17,259.9,0.2,True,True,1.0,gi,CFHT,yes,10.4,5.15463683965967,26.1664650481767,40.100056,39.06324,10.4,nan,1.0
dw0238p3805,NGC1023,39.6703,38.0849,187.8,16.89,0.07,16.37,0.06,-13.19,-13.41,0.07,7.11,0.11,23.08,0.21,614.7,27.5,False,False,0.9,gi,CFHT,yes,10.4,12.1914400242733,24.3257497141993,40.100056,39.06324,10.4,nan,1.0
dw0241p3829,NGC1023,40.4758,38.4983,115.5,19.71,0.13,19.14,0.14,-10.38,-10.61,0.13,6.04,0.12,23.86,0.05,260.6,30.1,True,False,0.35,gi,CFHT,nan,10.4,5.16852004776376,25.2823057075521,40.100056,39.06324,10.4,nan,1.0
dw0243p3915,NGC1023,40.979,39.2557,128.5,19.13,0.14,18.37,0.15,-10.96,-11.26,0.14,6.52,0.13,22.36,0.29,255.7,43.5,True,False,0.05,gi,CFHT,nan,10.4,5.07133759103414,24.6610872908179,40.100056,39.06324,10.4,nan,1.0
dw0309m4104,NGC1291,47.3549,-41.0826,235.7,19.19,0.12,18.64,0.11,-10.6,-10.92,0.12,6.44,0.14,24.25,0.16,365.0,34.7,True,True,1.0,gr,DECALS,nan,9.08,8.29148174445356,25.788635426125,49.327411,-41.107952,9.08,nan,1.0
dw0309m4101,NGC1291,47.4093,-41.0312,229.5,12.59,0.08,12.12,0.09,-17.2,-17.48,0.09,8.95,0.13,22.17,0.11,4122.2,196.2,False,True,1.0,gr,DECALS,nan,9.08,93.6414896362845,24.4528162506255,49.327411,-41.107952,9.08,nan,1.0
dw0310m4000,NGC1291,47.5432,-40.0035,277.2,15.61,0.09,15.4,0.09,-14.18,-14.31,0.09,7.29,0.13,23.0,0.11,934.1,48.9,False,True,1.0,gr,DECALS,nan,9.08,21.2193782858723,24.2491379577499,49.327411,-41.107952,9.08,nan,1.0
dw0315m4040,NGC1291,48.7908,-40.6674,95.0,18.13,0.1,17.56,0.1,-11.66,-12.0,0.1,6.91,0.13,24.88,0.13,763.2,55.8,True,True,1.0,gr,DECALS,nan,9.08,17.3371475503373,26.3303629083787,49.327411,-41.107952,9.08,nan,1.0
dw0317m4142,NGC1291,49.256,-41.7001,94.2,16.92,0.09,16.34,0.09,-12.87,-13.21,0.09,7.42,0.12,23.48,0.12,696.7,41.5,True,True,1.0,gr,DECALS,nan,9.08,15.8265077346188,24.9224001534236,49.327411,-41.107952,9.08,nan,1.0
dw0317m4058,NGC1291,49.3725,-40.9728,22.2,17.05,0.09,16.4,0.09,-12.74,-13.12,0.09,7.48,0.13,23.87,0.12,970.1,56.3,True,True,1.0,gr,DECALS,nan,9.08,22.037168257595,25.7712536196777,49.327411,-41.107952,9.08,nan,1.0
dw0317m4141,NGC1291,49.4083,-41.6962,93.7,17.15,0.09,16.68,0.09,-12.64,-12.92,0.1,7.13,0.13,24.61,0.12,1099.0,67.6,True,True,1.0,gr,DECALS,nan,9.08,24.9653106782617,26.142159556526,49.327411,-41.107952,9.08,nan,1.0
dw0318m4101,NGC1291,49.6796,-41.024,44.1,18.63,0.11,18.05,0.1,-11.16,-11.5,0.11,6.73,0.13,23.54,0.14,346.6,28.0,True,True,1.0,gr,DECALS,nan,9.08,7.87350019939654,25.116313895847,49.327411,-41.107952,9.08,nan,1.0
dw0318m4211,NGC1291,49.6961,-42.1993,178.4,20.35,0.15,19.82,0.15,-9.44,-9.75,0.16,5.94,0.17,25.52,0.22,334.5,45.8,True,True,1.0,gr,DECALS,nan,9.08,7.59863190070945,26.7591517145491,49.327411,-41.107952,9.08,nan,1.0
dw0319m4126,NGC1291,49.9305,-41.448,89.8,17.47,0.09,16.87,0.1,-12.32,-12.67,0.1,7.22,0.13,25.0,0.12,833.6,53.9,True,True,1.0,gr,DECALS,nan,9.08,18.9363812780303,25.8619596286888,49.327411,-41.107952,9.08,nan,1.0
dw0320m4048,NGC1291,50.1412,-40.8048,108.6,19.27,0.12,18.72,0.11,-10.52,-10.84,0.12,6.41,0.14,26.98,0.16,927.7,90.3,True,True,1.0,gr,DECALS,nan,9.08,21.0739934019399,27.8942088804438,49.327411,-41.107952,9.08,nan,1.0
