ID,RAdeg,DEdeg,gmag,gMag,mu,PRh,ARh,z,Nuc,Class,Env,PGC
122447+143434,186.1982,14.5763,17.04,-14.12,24.11,0.82,10.32,0.004,0,ND,1,PGC41361
122447+082620,186.1986,8.4389,18.08,-13.09,24.2,0.53,6.71,9.9999,1,ND,1,PGC41361
122447+085929,186.199,8.9915,16.96,-14.21,24.39,0.97,12.24,0.0032,1,ND,1,PGC41361
122447+114905,186.1997,11.8182,19.5,-11.66,25.47,0.49,6.23,9.9999,0,ND,1,PGC41361
122448+073212,186.2006,7.5367,20.47,-10.7,26.65,0.54,6.87,9.9999,1,ND,1,PGC41361
122448+181142,186.2014,18.1951,14.55,-16.62,21.36,0.73,9.19,0.0023,1,ND,1,PGC41361
122449+064534,186.2065,6.7595,14.92,-16.25,22.53,1.06,13.25,0.0031,1,ND,1,PGC41361
122450+150037,186.2112,15.0105,18.72,-12.44,24.78,0.51,6.49,9.9999,0,ND,1,PGC41361
122451+130639,186.215,13.111,16.0,-15.17,24.14,1.35,16.97,0.0032,1,ND,1,PGC41361
122453+143917,186.2212,14.655,18.1,-13.07,24.04,0.49,6.16,9.9999,0,ND,1,PGC41361
122453+092934,186.2212,9.4931,16.97,-14.2,23.77,0.73,9.16,9.9999,1,ND,1,PGC41361
122454+073325,186.2253,7.557,16.52,-14.64,23.44,0.77,9.65,0.0041,1,ND,1,PGC41361
122456+114955,186.2338,11.832,17.3,-13.87,23.68,0.6,7.55,0.0061,1,ND,1,PGC41361
122457+073341,186.2389,7.5614,20.9,-10.27,25.07,0.21,2.72,9.9999,0,ND,1,PGC41361
122458+760038,186.2437,76.0108,19.13,-13.61,25.01,0.97,5.98,9.9999,0,ND,2,PGC39791
122459+181811,186.2476,18.3032,18.84,-12.33,23.91,0.32,4.12,9.9999,0,ND,1,PGC41361
122500+153615,186.2509,15.6044,17.29,-13.88,24.34,0.82,10.28,0.0031,1,ND,1,PGC41361
122500+150536,186.2514,15.0936,19.56,-11.61,24.6,0.32,4.07,9.9999,0,ND,1,PGC41361
122500+130224,186.2525,13.0401,19.94,-11.22,24.56,0.26,3.34,9.9999,0,ND,1,PGC41361
122502+073013,186.2623,7.5039,15.54,-15.62,21.98,0.61,7.74,0.0036,1,ND,1,PGC41361
122503+131440,186.2645,13.2446,16.12,-15.04,21.63,0.4,5.03,0.0029,1,ND,1,PGC41361
122503+111855,186.265,11.3155,19.69,-11.48,26.73,0.81,10.21,9.9999,1,ND,1,PGC41361
122504+100604,186.267,10.1012,16.58,-14.59,22.13,0.41,5.15,0.003,1,ND,1,PGC41361
122504+154240,186.2677,15.7112,16.83,-14.33,23.05,0.55,6.98,0.0046,0,ND,1,PGC41361
122504+130431,186.2702,13.0755,19.69,-11.48,25.74,0.51,6.48,9.9999,1,ND,1,PGC41361
122507+060554,186.2814,6.0986,17.81,-13.35,24.08,0.57,7.17,9.9999,0,ND,1,PGC41361
122508+065324,186.2842,6.8903,17.87,-13.29,23.84,0.49,6.24,0.0048,0,ND,1,PGC41361
122509+130633,186.2888,13.1094,21.19,-9.98,25.79,0.26,3.33,9.9999,0,ND,1,PGC41361
122509+122256,186.2906,12.3823,17.81,-13.35,25.33,1.01,12.72,9.9999,0,ND,1,PGC41361
122510+102723,186.2919,10.4566,18.72,-12.44,24.61,0.47,5.99,9.9999,1,ND,1,PGC41361
122511+061851,186.2965,6.3143,18.11,-13.05,24.38,0.57,7.15,9.9999,1,ND,1,PGC41361
122511+132751,186.297,13.4644,19.1,-12.06,25.07,0.49,6.22,9.9999,0,ND,1,PGC41361
122511+142628,186.2972,14.4412,17.83,-13.34,24.75,0.77,9.68,9.9999,0,ND,1,PGC41361
122511+175337,186.2983,17.8936,20.26,-10.9,24.51,0.22,2.82,9.9999,0,ND,1,PGC41361
122513+130131,186.3045,13.0253,17.6,-13.57,24.46,0.75,9.43,-0.0006,1,ND,1,PGC41361
122513+145043,186.3048,14.8454,17.48,-13.69,25.05,1.04,13.06,9.9999,0,TS,1,PGC41361
