host,ID,ra,dec,re,tile,x,y,bands,n_bands,cutout
NGC2549,MATLAS-358,124.844,57.9862,,"(132, 296)",1951.6672725380654,4739.263296505348,"['u', 'g', 'r', 'i', 'z']",5,0
NGC2549,MATLAS-359,124.9989,58.1234,,"(132, 296)",378.1202792284712,7406.836432729018,"['u', 'g', 'r', 'i', 'z']",5,0
NGC2549,MATLAS-360,125.077,58.327,,"(131, 297)",7871.447421721088,1653.4472194252844,"['u', 'g', 'r', 'i', 'z']",5,0
NGC2577,MATLAS-361,125.1898,22.2861,,"(231, 225)",1888.8593593588962,856.6067974080033,['u'],1,0
NGC2577,MATLAS-362,125.196,22.0275,,"(232, 224)",3455.604217295395,5533.356096337172,['u'],1,0
NGC2577,MATLAS-363,125.244,22.6855,,"(231, 225)",928.7332918675816,8597.930389445679,['u'],1,0
NGC2577,MATLAS-364,125.2657,22.1646,,"(232, 224)",2206.1866956870845,8191.218066061421,['u'],1,0
NGC2577,MATLAS-365,125.39,22.4683,,"(232, 225)",7999.4997584772445,4387.362340761275,['u'],1,0
NGC2577,MATLAS-366,125.54,22.5731,,"(232, 225)",5313.066132094426,6416.621363082206,['u'],1,0
NGC2577,MATLAS-367,125.571,22.6091,,"(232, 225)",4758.403692411577,7114.258441594515,['u'],1,0
NGC2577,MATLAS-368,125.5731,22.9086,,"(231, 226)",3242.144608031934,3229.3492531642755,['u'],1,0
NGC2577,MATLAS-369,125.5962,22.697,,"(232, 225)",4308.02336157583,8817.76107880921,['u'],1,0
NGC2577,MATLAS-370,125.5955,22.9613,,"(231, 226)",2843.1339276579406,4250.921552451341,['u'],1,0
NGC2577,MATLAS-371,125.6009,22.3747,,"(232, 225)",4222.184478679513,2571.9241274468627,['u'],1,0
NGC2549,MATLAS-372,125.636,57.3251,,"(135, 295)",4918.732523460146,1610.613357184679,"['u', 'g', 'r', 'i', 'z']",5,0
NGC2577,MATLAS-373,125.749,22.6716,,"(232, 225)",1575.5751831600774,8327.646003370213,['u'],1,0
NGC2577,MATLAS-374,125.773,22.5747,,"(232, 225)",1143.7092248973872,6450.393471767846,['u'],1,0
NGC2577,MATLAS-375,125.8235,22.8967,,"(232, 226)",8468.73723101472,3000.439269347533,['u'],1,0
NGC2577,MATLAS-376,125.8322,22.5021,,"(233, 225)",9771.169401197745,5044.942353540251,['u'],1,0
NGC2577,MATLAS-377,125.8502,22.2669,,"(233, 225)",9456.46522659154,486.4005063627874,['u'],1,0
NGC2577,MATLAS-378,125.8747,22.7471,,"(232, 226)",7557.533749605598,100.26322605676705,['u'],1,0
NGC2577,MATLAS-379,125.9,22.4062,,"(233, 225)",8559.758894640734,3184.6042833613155,['u'],1,0
NGC2577,MATLAS-380,125.9206,22.7198,,"(233, 225)",8183.457938404954,9261.427996062219,['u'],1,0
NGC2577,MATLAS-381,125.9599,22.0602,,"(234, 224)",9106.892377818971,6169.692012494071,['u'],1,0
NGC2577,MATLAS-382,126.026,22.8058,,"(232, 226)",4853.5819298530305,1236.5948960123187,['u'],1,0
NGC2577,MATLAS-383,126.1496,22.1016,,"(234, 224)",5699.614328221551,6968.99428317808,['u'],1,0
NGC2592,MATLAS-384,126.262,25.8922,,"(227, 232)",5319.3892890464795,2910.967545321791,['u'],1,0
NGC2594,MATLAS-385,126.5891,25.7485,,"(228, 232)",9320.4987887912,130.2135707605412,['u'],1,0
NGC2592,MATLAS-386,126.66,26.422,,"(227, 233)",7862.548867629619,3490.2733773942705,['u'],1,0
NGC2594,MATLAS-387,126.7255,25.596,,"(229, 231)",7312.554838149828,6861.535887281758,['u'],1,0
NGC2594,MATLAS-388,126.7582,25.8837,,"(228, 232)",6367.269842435478,2746.6319012094987,['u'],1,0
NGC2592,MATLAS-389,126.7732,26.0997,,"(228, 232)",6103.714306121659,6932.353368416474,['u'],1,0
NGC2592,MATLAS-390,126.7814,26.1741,,"(228, 232)",5960.401135737039,8374.092113171737,['u'],1,0
NGC2594,MATLAS-391,126.8164,25.9594,,"(228, 232)",5352.328721886283,4213.241157166485,['u'],1,0
NGC2592,MATLAS-392,126.817,26.1504,,"(228, 232)",5341.31882978282,7914.62859336056,['u'],1,0
NGC2592,MATLAS-393,126.829,26.2377,,"(228, 232)",5132.475401494121,9606.409995427355,['u'],1,0
NGC2592,MATLAS-394,126.8632,26.2431,,"(228, 232)",4538.016748544729,9711.101728501566,['u'],1,0
NGC2594,MATLAS-395,126.9189,25.6552,,"(229, 231)",3932.989792320879,8007.868770054296,['u'],1,0
NGC2594,MATLAS-396,126.9207,25.9523,,"(228, 232)",3534.945777403369,4076.0936396535662,['u'],1,0
NGC2594,MATLAS-397,126.9657,25.8222,,"(228, 232)",2748.3392634128686,1555.513971726366,['u'],1,0
NGC2594,MATLAS-398,126.9768,25.6654,,"(229, 231)",2921.7345209305718,8206.224117540221,['u'],1,0
NGC2594,MATLAS-399,126.981,25.9673,,"(228, 232)",2484.550229875163,4367.695532464731,['u'],1,0
NGC2592,MATLAS-400,127.0581,26.1969,,"(228, 232)",1148.80186476483,8819.018971951136,['u'],1,0
NGC2594,MATLAS-401,127.0768,25.7887,,"(228, 232)",809.0964642891622,909.0279237668774,['u'],1,0
NGC2594,MATLAS-402,127.1103,26.0156,,"(228, 232)",233.7530011009194,5307.304710733152,['u'],1,0
NGC2594,MATLAS-403,127.341,25.8862,,"(229, 232)",5905.241146606139,2794.850105113744,['u'],1,0
UGC04551,MATLAS-404,130.6585,50.2756,,"(166, 281)",2877.1473371754405,653.7805550732674,"['u', 'g', 'r', 'i', 'z']",5,0
UGC04551,MATLAS-405,130.7772,50.0784,,"(168, 280)",3801.1640002385493,6520.08514884496,"['u', 'g', 'r', 'i', 'z']",5,0
UGC04551,MATLAS-406,130.8117,49.8144,,"(168, 280)",3363.159664992898,1404.6801910031554,"['u', 'g', 'r', 'i', 'z']",5,0
UGC04551,MATLAS-407,130.923,49.846,,"(168, 280)",1973.3736950147922,2020.5217593974517,"['u', 'g', 'r', 'i', 'z']",5,0
UGC04551,MATLAS-408,130.9351,50.0706,,"(168, 280)",1836.964722706918,6373.538212550976,"['u', 'g', 'r', 'i', 'z']",5,0
UGC04551,MATLAS-409,130.9356,49.8861,,"(168, 280)",1818.5652819050565,2798.1431226600466,"['u', 'g', 'r', 'i', 'z']",5,0
UGC04551,MATLAS-410,131.0248,50.0998,,"(168, 280)",723.8512557977983,6943.870495276789,"['u', 'g', 'r', 'i', 'z']",5,0
UGC04551,MATLAS-411,131.0761,49.7883,,"(169, 280)",9786.41541542196,909.6577576494587,"['u', 'g', 'r', 'i', 'z']",5,0
UGC04551,MATLAS-412,131.176,50.0851,,"(169, 280)",8514.783488968267,6655.800864893338,"['u', 'g', 'r', 'i', 'z']",5,0
UGC04551,MATLAS-413,131.2741,50.2545,,"(167, 281)",4988.392117603578,242.43536789125392,"['u', 'g', 'r', 'i', 'z']",5,0
UGC04551,MATLAS-414,131.304,50.2209,,"(169, 280)",6917.721623950758,9282.823488218495,"['u', 'g', 'r', 'i', 'z']",5,0
UGC04551,MATLAS-415,131.388,49.2537,,"(171, 279)",8317.237615115086,232.68350322186416,"['u', 'g', 'r', 'i', 'z']",5,0
UGC04551,MATLAS-416,131.508,49.9323,,"(169, 280)",4384.569990096721,3688.246323571853,"['u', 'g', 'r', 'i', 'z']",5,0
NGC2679,MATLAS-417,132.8104,30.9013,,"(228, 242)",8089.648588805018,3089.8672257423214,"['u', 'g', 'r']",3,0
NGC2679,MATLAS-418,132.883,30.9677,,"(228, 242)",6881.126208904885,4375.015656095477,"['u', 'g', 'r']",3,0
NGC2679,MATLAS-419,133.111,30.7267,,"(229, 241)",1281.7284436412779,9396.934558574036,"['u', 'g', 'r']",3,0
NGC2695,MATLAS-420,133.3598,-2.5094,,,,,,0,0
NGC2695,MATLAS-421,133.372,-2.767,,,,,,0,0
NGC2695,MATLAS-422,133.451,-3.5133,,,,,,0,0
NGC2685,MATLAS-423,133.455,58.9445,,"(137, 298)",450.1356523737213,3939.947884332399,"['u', 'g', 'r', 'i', 'z']",5,0
NGC2695,MATLAS-424,133.5558,-2.9976,,,,,,0,0
NGC2685,MATLAS-425,133.594,58.9676,,"(138, 298)",8763.117979515631,4382.720995544977,"['g', 'r', 'i', 'z']",4,0
NGC2695,MATLAS-426,133.6322,-3.1385,,,,,,0,0
NGC2695,MATLAS-427,133.65,-2.8057,,,,,,0,0
NGC2695,MATLAS-428,133.6689,-3.109,,,,,,0,0
NGC2695,MATLAS-429,133.7407,-2.939,,,,,,0,0
NGC2685,MATLAS-430,133.766,58.2889,,"(140, 297)",7094.9246236955,912.2807771004586,"['g', 'r', 'i', 'z']",4,0
NGC2699,MATLAS-431,133.832,-2.9414,,,,,,0,0
NGC2685,MATLAS-432,133.8754,58.6882,,"(140, 297)",5969.453030893448,8647.829844829965,"['g', 'r', 'i', 'z']",4,0
NGC2685,MATLAS-433,133.9014,58.5719,,"(140, 297)",5709.958195112615,6393.719660607096,"['g', 'r', 'i', 'z']",4,0
NGC2699,MATLAS-434,133.9285,-3.0635,,,,,,0,0
NGC2699,MATLAS-435,133.991,-2.803,,,,,,0,0
NGC2699,MATLAS-436,134.0337,-2.9158,,,,,,0,0
NGC2699,MATLAS-437,134.0532,-3.4213,,,,,,0,0
NGC2699,MATLAS-438,134.0753,-2.5617,,,,,,0,0
NGC2699,MATLAS-439,134.078,-3.1813,,,,,,0,0
NGC2685,MATLAS-440,134.1487,59.1237,,"(138, 298)",3229.5626651245184,7399.5421817066635,"['g', 'r', 'i', 'z']",4,0
NGC2699,MATLAS-441,134.1591,-3.607,,,,,,0,0
NGC2699,MATLAS-442,134.1675,-3.6268,,,,,,0,0
NGC2699,MATLAS-443,134.1938,-3.2526,,,,,,0,0
NGC2699,MATLAS-444,134.2092,-2.9154,,,,,,0,0
NGC2699,MATLAS-445,134.2161,-3.2605,,,,,,0,0
NGC2685,MATLAS-446,134.2196,58.6731,,"(140, 297)",2501.865639012782,8359.12603463528,"['g', 'r', 'i', 'z']",4,0
NGC2685,MATLAS-447,134.2748,58.5591,,"(140, 297)",1935.72976671183,6152.213226441959,"['g', 'r', 'i', 'z']",4,0
NGC2699,MATLAS-448,134.2757,-3.3425,,,,,,0,0
NGC2699,MATLAS-449,134.2951,-3.2802,,,,,,0,0
NGC2685,MATLAS-450,134.417,59.0503,,"(138, 298)",551.8189961303333,5989.620629651345,"['g', 'r', 'i', 'z']",4,0
NGC2685,MATLAS-451,134.438,59.0371,,"(138, 298)",340.73920516304315,5735.253279223226,"['g', 'r', 'i', 'z']",4,0
NGC2699,MATLAS-452,134.471,-3.4851,,,,,,0,0
NGC2685,MATLAS-453,134.4924,59.0925,,"(139, 298)",9470.170229872256,6807.586562210465,"['g', 'r', 'i', 'z']",4,0
NGC2764,MATLAS-454,136.656,21.2069,,,,,,0,0
NGC2768,MATLAS-455,136.9426,59.7566,,"(137, 300)",5560.2685935221025,283.37430811273316,"['g', 'i', 'z']",3,0
NGC2768,MATLAS-456,136.9662,59.9242,,"(137, 300)",5328.254936989834,3531.157480643041,"['g', 'i', 'z']",3,0
NGC2764,MATLAS-457,137.0044,21.8647,,,,,,0,0
NGC2764,MATLAS-458,137.085,21.4934,,,,,,0,0
NGC2764,MATLAS-459,137.1791,21.6072,,,,,,0,0
NGC2768,MATLAS-460,137.249,60.063,,"(137, 300)",2591.9158515401527,6225.409662701255,"['g', 'i', 'z']",3,0
NGC2768,MATLAS-461,137.2678,59.7603,,"(137, 300)",2386.3564100440444,360.112279917892,"['g', 'i', 'z']",3,0
NGC2778,MATLAS-462,137.607,34.4982,,"(227, 249)",6830.724255479605,4966.155077528191,"['u', 'g', 'r', 'i']",4,0
NGC2768,MATLAS-463,137.6315,60.3875,,"(136, 301)",9414.410580213382,2835.3033979804177,"['i', 'z']",2,0
NGC2778,MATLAS-464,137.6866,34.5667,,"(227, 249)",5558.967280760055,6292.674403852803,"['u', 'g', 'r', 'i']",4,0
NGC2768,MATLAS-465,137.701,60.0568,,"(138, 300)",7892.177174720751,6107.264683272346,"['g', 'i', 'z']",3,0
NGC2778,MATLAS-466,137.763,35.2162,,"(226, 250)",7921.529971561122,9192.464821376587,"['u', 'g', 'r', 'i']",4,0
NGC2768,MATLAS-467,137.8062,60.4212,,"(136, 301)",7738.692076243281,3478.8874249281976,"['i', 'z']",2,0
NGC2778,MATLAS-468,137.927,35.3083,,"(225, 251)",9108.23077856439,1290.4216991399858,"['u', 'g', 'r', 'i']",4,0
NGC2778,MATLAS-469,137.9581,35.5427,,"(225, 251)",8605.871479058947,5831.664916248266,"['u', 'g', 'r', 'i']",4,0
NGC2778,MATLAS-470,138.0426,34.7017,,"(228, 249)",9552.302067853949,8915.215367713823,"['u', 'g', 'r', 'i']",4,0
NGC2778,MATLAS-471,138.108,34.8636,,"(226, 250)",2448.3751925171346,2358.746915638797,"['u', 'g', 'r', 'i']",4,0
NGC2768,MATLAS-472,138.1239,60.3042,,"(136, 301)",4698.541424804979,1205.6558942707743,"['i', 'z']",2,0
NGC2778,MATLAS-473,138.1387,35.1922,,"(226, 250)",1972.4058376150606,8727.561749931414,"['u', 'g', 'r', 'i']",4,0
NGC2778,MATLAS-474,138.17,34.746,,"(228, 249)",7521.196329606487,9769.239784621324,"['u', 'g', 'r', 'i']",4,0
NGC2768,MATLAS-475,138.1857,59.7319,,"(140, 299)",2410.594991083702,9499.179884877518,"['g', 'i', 'z']",3,0
NGC2778,MATLAS-476,138.198,35.1593,,"(226, 250)",1031.6641431516578,8092.0717761811575,"['u', 'g', 'r', 'i']",4,0
NGC2768,MATLAS-477,138.2034,60.3319,,"(136, 301)",3936.2222604542994,1743.2814131695764,"['i', 'z']",2,0
NGC2768,MATLAS-478,138.2168,59.987,,"(138, 300)",2898.496040698173,4751.516262136864,"['g', 'i', 'z']",3,0
NGC2778,MATLAS-479,138.2197,35.1871,,"(226, 250)",689.3263534944854,8631.71694183083,"['u', 'g', 'r', 'i']",4,0
NGC2768,MATLAS-480,138.251,60.2508,,"(136, 301)",3475.852473547342,172.56213937151097,"['i', 'z']",2,0
NGC2778,MATLAS-481,138.2919,35.0479,,"(227, 250)",9220.363096851066,5933.878775074818,"['u', 'g', 'r', 'i']",4,0
NGC2778,MATLAS-482,138.3213,35.5495,,"(225, 251)",2878.9828929603395,5960.706601458112,"['u', 'g', 'r', 'i']",4,0
NGC2768,MATLAS-483,138.3451,60.0254,,"(138, 300)",1658.7324150820264,5500.942301511648,"['g', 'i', 'z']",3,0
NGC2778,MATLAS-484,138.446,35.1915,,"(227, 250)",6772.430716806635,8712.082994306878,"['u', 'g', 'r', 'i']",4,0
NGC2778,MATLAS-485,138.485,34.8349,,"(227, 250)",6159.824726367973,1800.9457993068932,"['u', 'g', 'r', 'i']",4,0
NGC2778,MATLAS-486,138.5965,34.7226,,"(228, 249)",728.5661406552535,9319.472887293072,"['u', 'g', 'r', 'i']",4,0
NGC2778,MATLAS-487,138.6034,35.4336,,"(226, 251)",8119.129845901894,3716.353589004239,"['u', 'g', 'r', 'i']",4,0
NGC2778,MATLAS-488,138.6215,34.6586,,"(228, 249)",326.76497808903423,8080.3106973132335,"['u', 'g', 'r', 'i']",4,0
NGC2778,MATLAS-489,138.6416,35.2037,,"(227, 250)",3674.877341878223,8948.069414666845,"['u', 'g', 'r', 'i']",4,0
NGC2768,MATLAS-490,138.8832,59.8303,,"(139, 300)",6137.537118996217,1712.3826479238805,"['g', 'i', 'z']",3,0
NGC2824,MATLAS-491,139.4191,26.5041,,"(250, 233)",9438.744711940471,5083.878105965649,['u'],1,0
NGC2824,MATLAS-492,139.7488,26.1163,,"(251, 232)",2959.682214416893,7254.695600265953,['u'],1,0
NGC2824,MATLAS-493,139.8251,26.4447,,"(250, 233)",2396.40830624026,3929.8612404623564,['u'],1,0
NGC2824,MATLAS-494,139.909,26.8441,,"(249, 234)",1898.3242542468565,1981.0046433636744,['u'],1,0
NGC2824,MATLAS-495,140.02,26.1765,,"(252, 232)",7919.078191752518,8422.284066123155,['u'],1,0
NGC2852,MATLAS-496,140.3246,40.1124,,"(215, 260)",5099.0557504326125,7178.202037127277,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-497,140.3924,40.0885,,"(215, 260)",4093.893864565855,6715.350859665425,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-498,140.4229,40.1572,,"(215, 260)",3643.0717809561447,8047.080359466843,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-499,140.4358,40.3773,,"(214, 261)",9111.593356104227,2628.671205348343,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-500,140.5262,40.1194,,"(215, 260)",2111.4928738878443,7317.01764101564,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-501,140.5447,40.3414,,"(214, 261)",7505.249219759809,1928.8888975593327,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-502,140.577,34.5017,,"(232, 249)",7845.026314338949,5035.449487544863,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-503,140.6645,34.3025,,"(232, 249)",6451.0725369376705,1173.2863806295431,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-504,140.6702,34.6966,,"(232, 249)",6353.410500140755,8810.4902990476,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-505,140.6976,34.8351,,"(231, 250)",9801.580360458163,1811.6252286911395,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-506,140.734,34.7658,,"(231, 250)",9226.152539880477,467.0041860258616,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-507,140.76,39.8204,,"(216, 260)",8333.876160526239,1523.6998570068408,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-508,140.7893,34.1793,,"(233, 248)",752.9689619903356,8480.175254670003,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-509,140.8308,40.2327,,"(216, 260)",7266.339408513423,9511.466508555171,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-510,140.853,34.7881,,"(231, 250)",7331.055526983459,895.2787765720714,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-511,140.9304,40.1002,,"(216, 260)",5794.343324020152,6942.013413170827,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-512,140.9418,40.6422,,"(214, 261)",1654.8192817694444,7760.01979746297,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-513,141.0093,34.1657,,"(234, 248)",6895.284764529988,8212.201129062229,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-514,141.0099,34.6623,,"(232, 249)",939.265752432631,8150.3486506108775,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-515,141.022,34.6466,,"(232, 249)",745.5916560928999,7846.594852124335,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-516,141.0333,39.9257,,"(216, 260)",4267.148284653312,3560.34459330774,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-517,141.0711,34.6907,,"(233, 249)",9632.831491011133,8702.272175171443,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-518,141.0934,40.2972,,"(215, 261)",9115.658657773081,1076.3978897791644,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-519,141.096,40.091,,"(216, 260)",3339.369451431977,6764.532566219793,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-520,141.097,40.3811,,"(215, 261)",9057.383170154108,2702.142860149794,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-521,141.1063,34.5474,,"(233, 249)",9078.957330984977,5923.721526277268,"['u', 'g', 'r', 'i']",4,0
NGC2852,MATLAS-522,141.125,40.0027,,"(216, 260)",2906.726068892622,5053.979063247626,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-523,141.3129,34.278,,"(233, 249)",5783.796622070212,698.037087386193,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-524,141.3543,34.3992,,"(233, 249)",5120.673114322235,3046.602933011207,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-525,141.377,34.572,,"(233, 249)",4758.2012400712065,6395.3042650429,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-526,141.415,34.8874,,"(232, 250)",8097.409740700514,2820.9383469980553,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-527,141.484,34.0937,,"(235, 248)",8957.63458819106,6820.584776272892,"['u', 'g', 'r', 'i']",4,0
NGC2859,MATLAS-528,141.509,34.0324,,"(235, 248)",8558.996195265225,5631.730509179736,"['u', 'g', 'r', 'i']",4,0
NGC2880,MATLAS-529,141.5619,62.7881,,"(129, 306)",9533.259425003345,911.5765707608871,"['g', 'i', 'z']",3,0
NGC2880,MATLAS-530,142.1019,62.5537,,"(131, 305)",2768.5618884928745,6044.967888663437,"['g', 'i', 'z']",3,0
NGC2880,MATLAS-531,142.1614,62.414,,"(131, 305)",2224.140089168909,3340.0490787012977,"['g', 'i', 'z']",3,0
NGC2880,MATLAS-532,142.2871,61.9755,,"(134, 304)",8883.800471729068,4537.977155303693,"['g', 'i', 'z']",3,0
NGC2880,MATLAS-533,142.366,62.5123,,"(131, 305)",403.2310555370086,5256.649760898948,"['g', 'i', 'z']",3,0
NGC2880,MATLAS-534,142.5511,62.5155,,"(132, 305)",8432.686560132555,5310.5738972522195,"['g', 'i', 'z']",3,0
NGC2880,MATLAS-535,142.7398,61.9603,,"(134, 304)",4761.774858167156,4230.7030012757305,"['g', 'i', 'z']",3,0
NGC2880,MATLAS-536,142.786,62.4536,,"(132, 305)",6334.618665964707,4102.353676432591,"['g', 'i', 'z']",3,0
NGC2880,MATLAS-537,143.12,62.4058,,"(132, 305)",3338.6146008528117,3176.878129621715,"['g', 'i', 'z']",3,0
NGC2880,MATLAS-538,143.1963,62.2968,,"(132, 305)",2645.164191936058,1066.9337322903702,"['g', 'i', 'z']",3,0
NGC2962,MATLAS-539,144.9239,5.1556,,,,,,0,0
NGC2950,MATLAS-540,145.008,58.5354,,"(152, 297)",9520.961977443032,5701.055986870795,"['g', 'r', 'i', 'z']",4,0
NGC2962,MATLAS-541,145.088,4.7354,,,,,,0,0
NGC2962,MATLAS-542,145.0995,5.1587,,,,,,0,0
NGC2962,MATLAS-543,145.1041,5.4696,,,,,,0,0
NGC2962,MATLAS-544,145.1226,5.2314,,,,,,0,0
NGC2962,MATLAS-545,145.156,5.1769,,,,,,0,0
NGC2962,MATLAS-546,145.234,5.044,,,,,,0,0
NGC2962,MATLAS-547,145.2496,5.2421,,,,,,0,0
NGC2950,MATLAS-548,145.2689,58.4219,,"(152, 297)",6887.984875562276,3489.1133596892587,"['g', 'r', 'i', 'z']",4,0
NGC2974,MATLAS-549,145.2786,-3.4218,,,,,,0,0
NGC2974,MATLAS-550,145.311,-3.431,,,,,,0,0
NGC2962,MATLAS-551,145.3115,5.3975,,,,,,0,0
NGC2974,MATLAS-552,145.3268,-4.1527,,,,,,0,0
NGC2974,MATLAS-553,145.4222,-3.7319,,,,,,0,0
NGC2974,MATLAS-554,145.4454,-3.6552,,,,,,0,0
NGC2974,MATLAS-555,145.4618,-3.7863,,,,,,0,0
NGC2950,MATLAS-556,145.5148,59.0431,,"(150, 298)",6051.686745369768,5836.063834014649,"['g', 'r', 'i', 'z']",4,0
NGC2974,MATLAS-557,145.5466,-3.7082,,,,,,0,0
NGC2974,MATLAS-558,145.5932,-4.1309,,,,,,0,0
NGC2950,MATLAS-559,145.6676,58.9131,,"(150, 298)",4526.731397327899,3316.1340517979293,"['g', 'r', 'i', 'z']",4,0
NGC2974,MATLAS-560,145.696,-3.6624,,,,,,0,0
NGC2962,MATLAS-561,145.712,4.8897,,,,,,0,0
NGC2974,MATLAS-562,145.7694,-3.7309,,,,,,0,0
NGC2974,MATLAS-563,145.8124,-3.7145,,,,,,0,0
NGC2974,MATLAS-564,145.8438,-3.1588,,,,,,0,0
NGC2950,MATLAS-565,145.846,58.5246,,"(152, 297)",1043.1600999226862,5488.238900964369,"['g', 'r', 'i', 'z']",4,0
IC0560,MATLAS-566,145.973,0.2045,,,,,,0,0
NGC2974,MATLAS-567,145.9793,-3.1538,,,,,,0,0
NGC2950,MATLAS-568,145.983,58.6887,,"(153, 297)",9319.324446320104,8670.635398306322,"['g', 'r', 'i', 'z']",4,0
NGC2974,MATLAS-569,146.017,-3.4501,,,,,,0,0
IC0560,MATLAS-570,146.0454,0.1801,,,,,,0,0
IC0560,MATLAS-571,146.051,-0.5265,,,,,,0,0
IC0560,MATLAS-572,146.0654,0.2154,,,,,,0,0
NGC2974,MATLAS-573,146.0772,-3.8955,,,,,,0,0
NGC2974,MATLAS-574,146.115,-3.3048,,,,,,0,0
IC0560,MATLAS-575,146.1236,-0.2625,,,,,,0,0
IC0560,MATLAS-576,146.191,-0.2418,,,,,,0,0
IC0560,MATLAS-577,146.193,-0.688,,,,,,0,0
IC0560,MATLAS-578,146.21,0.1444,,,,,,0,0
IC0560,MATLAS-579,146.2528,0.1797,,,,,,0,0
IC0560,MATLAS-580,146.323,-0.0299,,,,,,0,0
IC0560,MATLAS-581,146.343,0.196,,,,,,0,0
IC0560,MATLAS-582,146.3835,-0.1228,,,,,,0,0
IC0560,MATLAS-583,146.3961,-0.1491,,,,,,0,0
IC0560,MATLAS-584,146.405,-0.2238,,,,,,0,0
IC0560,MATLAS-585,146.4547,-0.5469,,,,,,0,0
NGC2950,MATLAS-586,146.4623,58.9937,,"(151, 298)",6285.815355902474,4879.151303053027,"['g', 'r', 'i', 'z']",4,0
IC0560,MATLAS-587,146.5034,-0.322,,,,,,0,0
IC0560,MATLAS-588,146.5096,-0.2478,,,,,,0,0
IC0560,MATLAS-589,146.602,-0.0424,,,,,,0,0
IC0560,MATLAS-590,146.6798,-0.37,,,,,,0,0
IC0560,MATLAS-591,146.752,-0.2125,,,,,,0,0
IC0560,MATLAS-592,146.9701,0.005,,,,,,0,0
NGC3032,MATLAS-593,147.6358,28.7874,,"(258, 238)",2569.1454093958464,881.4755076991169,"['u', 'r', 'i']",3,0
NGC3032,MATLAS-594,147.7631,29.7794,,"(256, 240)",5648.728455407722,725.0879277581898,"['u', 'g', 'r', 'i']",4,0
NGC3032,MATLAS-595,148.176,29.3618,,"(258, 239)",5663.168266420793,2321.9334408510504,"['u', 'r', 'i']",3,0
NGC3032,MATLAS-596,148.183,29.3482,,"(258, 239)",5545.014058618054,2058.3416381059187,"['u', 'r', 'i']",3,0
NGC3032,MATLAS-597,148.239,29.3117,,"(258, 239)",4598.924778373748,1350.9686665452286,"['u', 'r', 'i']",3,0
PGC028887,MATLAS-598,149.4492,11.9483,,,,,,0,0
NGC3073,MATLAS-599,149.457,55.4059,,"(169, 291)",2020.6112993673296,3182.23363909669,"['g', 'i', 'z']",3,0
PGC028887,MATLAS-600,149.5579,11.5116,,,,,,0,0
PGC028887,MATLAS-601,149.59,11.3289,,,,,,0,0
PGC028887,MATLAS-602,149.666,11.4196,,,,,,0,0
PGC028887,MATLAS-603,149.7158,11.3743,,,,,,0,0
NGC3073,MATLAS-604,149.7445,55.8829,,"(167, 292)",411.5093936164885,2744.714717584823,"['g', 'i', 'z']",3,0
PGC028887,MATLAS-605,149.8338,12.1781,,,,,,0,0
PGC028887,MATLAS-606,149.8506,11.8783,,,,,,0,0
PGC028887,MATLAS-607,149.901,11.7743,,,,,,0,0
PGC028887,MATLAS-608,149.93,11.6949,,,,,,0,0
PGC028887,MATLAS-609,149.942,11.6614,,,,,,0,0
NGC3073,MATLAS-610,149.944,55.8862,,"(168, 292)",7961.647308033504,2800.501959960539,"['g', 'i', 'z']",3,0
PGC028887,MATLAS-611,149.9641,12.0568,,,,,,0,0
PGC028887,MATLAS-612,149.969,11.6454,,,,,,0,0
