ID,HostETG,Dist,f_Dist,Distl,r_Distl,RAdeg,DEdeg,gmag,g-i,g-r,n,n_n,Re,b/a,PA,mu0g,<mueg>,Morph,field1,field2,field3,host_ra,host_dec,host_Vhel,host_D,host_Mk,host_Ab,host_logRe,iso_clean,main_field,r_fov_arcsec
MATLAS-577,IC0560,27.2,1,17.48,a,146.193,-0.688,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-578,IC0560,27.2,1,0.0, ,146.21,0.1444,19.62,0.0,0.0,0.85, ,6.09,0.64,15.15,24.01,24.79,dE  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-579,IC0560,27.2,1,0.0, ,146.2528,0.1797,20.54,0.0,0.57,1.1, ,2.24,0.9,-70.07,22.76,23.54,dE  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-580,IC0560,27.2,1,92.97,a,146.323,-0.0299,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-581,IC0560,27.2,1,0.0, ,146.343,0.196,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dE  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-582,IC0560,27.2,1,0.0, ,146.3835,-0.1228,22.06,0.0,0.16,0.72, ,2.07,0.84,78.73,24.1,24.88,dE  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-583,IC0560,27.2,1,0.0, ,146.3961,-0.1491,21.1,0.0,0.0,0.23,*,2.65,0.81,81.19,23.68,24.46,dI  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-584,IC0560,27.2,1,0.0, ,146.405,-0.2238,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dE  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-585,IC0560,27.2,1,0.0, ,146.4547,-0.5469,18.79,0.0,0.36,0.64, ,11.68,0.67,7.78,24.59,25.37,dE  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-586,NGC2950,14.5,1,0.0, ,146.4623,58.9937,20.77,0.72,0.51,0.96, ,4.05,0.74,-44.47,24.27,25.05,dE  ,NGC2950,,,145.646317,58.851219,1322.0,14.5,-22.93,0.07,1.19,1.0,NGC2950,1875.84454126073
MATLAS-587,IC0560,27.2,1,0.0, ,146.5034,-0.322,22.01,0.0,0.38,0.98, ,1.99,0.69,-3.06,23.96,24.74,dE  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-588,IC0560,27.2,1,0.0, ,146.5096,-0.2478,21.23,0.0,0.47,0.55, ,6.56,0.83,53.86,25.77,26.55,dEN ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-589,IC0560,27.2,1,0.0, ,146.602,-0.0424,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-590,IC0560,27.2,1,0.0, ,146.6798,-0.37,20.28,0.0,0.37,1.33, ,5.01,0.88,41.33,23.89,24.67,dI  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-591,IC0560,27.2,1,0.0, ,146.752,-0.2125,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dE  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-592,IC0560,27.2,1,0.0, ,146.9701,0.005,21.79,0.0,0.21,0.77, ,2.49,0.77,57.3,24.23,25.01,dE  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-593,NGC3032,21.4,1,0.0, ,147.6358,28.7874,19.91,0.0,0.0,0.72,*,4.95,0.57,73.09,23.84,24.62,dE  ,NGC3032,,,148.034119,29.236279,1562.0,21.4,-22.01,0.07,1.12,1.0,NGC3032,1875.122886954132
MATLAS-594,NGC3032,21.4,1,0.0, ,147.7631,29.7794,20.65,0.0,-0.06,0.69, ,3.13,0.63,-51.16,23.59,24.37,dE  ,NGC3032,,,148.034119,29.236279,1562.0,21.4,-22.01,0.07,1.12,1.0,NGC3032,1875.122886954132
MATLAS-595,NGC3032,21.4,1,22.62,b,148.176,29.3618,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dIN ,NGC3032,,,148.034119,29.236279,1562.0,21.4,-22.01,0.07,1.12,1.0,NGC3032,1875.122886954132
MATLAS-596,NGC3032,21.4,1,20.5,b,148.183,29.3482,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,NGC3032,,,148.034119,29.236279,1562.0,21.4,-22.01,0.07,1.12,1.0,NGC3032,1875.122886954132
MATLAS-597,NGC3032,21.4,1,23.84,c,148.239,29.3117,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,NGC3032,,,148.034119,29.236279,1562.0,21.4,-22.01,0.07,1.12,1.0,NGC3032,1875.122886954132
MATLAS-598,PGC028887,41.0,1,0.0, ,149.4492,11.9483,20.99,0.0,0.04,0.71, ,2.45,0.58,68.56,23.05,23.83,dI  ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
MATLAS-599,NGC3073,32.8,1,0.0, ,149.457,55.4059,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,NGC3073,,,150.216843,55.618935,1173.0,32.8,-21.78,0.05,1.13,0.0,NGC3073,1873.541166229684
MATLAS-600,PGC028887,41.0,1,0.0, ,149.5579,11.5116,21.01,0.0,0.24,0.9, ,3.05,0.59,36.03,23.89,24.67,dE  ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
