host,ID,ra,dec,morph,re,z
NGC6548,MATLAS-2131,271.7239,18.354,dE  ,8.08,
NGC6548,MATLAS-2132,271.818,18.5268,dI  ,0.0,
PGC061468,MATLAS-2133,272.0035,19.1953,dE  ,4.03,
PGC061468,MATLAS-2134,272.299,19.2245,dI  ,0.0,
PGC061468,MATLAS-2135,272.6597,18.7123,dE  ,3.46,
NGC6703,MATLAS-2136,281.187,45.3001,dE  ,0.0,
NGC6703,MATLAS-2137,281.5637,45.6575,dE  ,9.08,
NGC6703,MATLAS-2138,281.593,45.2171,dIN ,0.0,
NGC6703,MATLAS-2139,281.596,45.3083,dI  ,0.0,
NGC6703,MATLAS-2140,281.821,45.0215,dE  ,0.0,
NGC6703,MATLAS-2141,281.9047,45.6728,dEN ,5.58,
NGC6703,MATLAS-2142,282.1,45.6045,dIN ,0.0,
NGC6703,MATLAS-2143,282.3955,45.2479,dE  ,3.93,
NGC6703,MATLAS-2144,282.5157,45.4553,dE  ,8.08,
NGC6798,MATLAS-2145,290.314,54.0216,dI  ,0.0,
NGC6798,MATLAS-2146,290.8808,53.7689,dE  ,6.41,
NGC6798,MATLAS-2147,291.043,54.1436,dI  ,0.0,
NGC6798,MATLAS-2148,291.0662,53.5975,dE  ,5.14,
NGC6798,MATLAS-2149,291.103,53.2081,dI  ,0.0,
NGC6798,MATLAS-2150,291.1929,53.5223,dE  ,2.89,
NGC6798,MATLAS-2151,291.2463,53.829,dI  ,2.22,
NGC6798,MATLAS-2152,291.356,53.4101,dIN ,0.0,
NGC7280,MATLAS-2153,336.239,16.6636,dI  ,0.0,
NGC7280,MATLAS-2154,336.499,16.011,dI  ,0.0,
NGC7280,MATLAS-2155,337.0465,16.7897,dE  ,2.79,
NGC7332,MATLAS-2159,339.114,23.9005,dI  ,0.0,
NGC7332,MATLAS-2160,339.116,23.7166,dI  ,0.0,
NGC7332,MATLAS-2161,339.299,24.1739,dI  ,0.0,
NGC7332,MATLAS-2162,339.5041,24.0971,dE  ,8.35,
NGC7332,MATLAS-2163,339.6138,24.0832,dEN ,4.01,
NGC7332,MATLAS-2164,339.86,24.1293,dI  ,0.0,
NGC7457,MATLAS-2165,344.815,30.6312,dI  ,0.0,
NGC7457,MATLAS-2166,344.8234,30.3219,dE  ,6.35,
NGC7454,MATLAS-2167,344.898,16.7659,dI  ,0.0,
NGC7457,MATLAS-2168,344.992,29.6923,dI  ,0.0,
NGC7457,MATLAS-2170,345.136,30.706,dE  ,0.0,
NGC7465,MATLAS-2171,345.1696,15.9258,dE  ,5.06,
NGC7457,MATLAS-2173,345.298,30.272,dI  ,0.0,
NGC7465,MATLAS-2175,345.413,16.1424,dI  ,0.0,
NGC7465,MATLAS-2177,345.5062,15.8639,dE  ,3.69,
NGC7465,MATLAS-2178,345.5275,15.9091,dE  ,5.45,
NGC7465,MATLAS-2179,345.5553,15.6377,dE* ,9.84,
NGC7465,MATLAS-2181,345.576,16.243,dIN ,0.0,
NGC7465,MATLAS-2182,345.5865,15.9078,dE  ,3.08,
NGC7457,MATLAS-2183,345.608,30.2041,dI  ,0.0,
NGC7457,MATLAS-2185,345.662,30.3823,dI  ,0.0,
PGC071531,MATLAS-2188,352.01,19.82,dE  ,3.18,
PGC071531,MATLAS-2189,352.1476,19.6441,dI  ,5.96,
PGC071531,MATLAS-2192,352.277,19.9579,dE  ,0.0,
PGC071531,MATLAS-2193,352.3013,19.9616,dE  ,2.97,
PGC071531,MATLAS-2194,352.3293,19.5644,dEN ,4.01,
PGC071531,MATLAS-2195,352.334,19.8563,dE  ,0.0,
PGC071531,MATLAS-2196,352.3683,20.2105,dE  ,6.76,
PGC071531,MATLAS-2197,352.421,20.3375,dI  ,0.0,
PGC071531,MATLAS-2198,352.4961,19.9471,dE  ,7.1,
NGC7693,MATLAS-2199,353.4685,-1.8153,dI  ,3.66,
NGC7710,MATLAS-2200,353.5115,-2.7104,dE  ,3.32,
NGC7710,MATLAS-2201,353.5405,-2.7019,dE  ,4.05,
NGC7710,MATLAS-2202,353.623,-3.3881,dI  ,0.0,
NGC7710,MATLAS-2203,353.7329,-2.6141,dE  ,7.1,
NGC7710,MATLAS-2204,353.7377,-2.8085,dE  ,4.92,
NGC7710,MATLAS-2205,353.7376,-2.6548,dE  ,3.97,
NGC7693,MATLAS-2206,353.7428,-1.26,dE  ,2.54,
NGC7710,MATLAS-2207,353.899,-2.5529,dIN ,0.0,
NGC7710,MATLAS-2208,354.3406,-3.2477,dE  ,4.08,
NGC7710,MATLAS-2209,354.4143,-2.9482,dIN ,7.17,
NGC7710,MATLAS-2210,354.416,-2.371,dI  ,0.0,
PGC218,000033+165423,0.1392,16.9065,dE,6.33,
PGC218,000044+152725,0.1855,15.4572,dE,8.25,
PGC218,000222+160140,0.5929,16.0279,dE,3.31,
PGC218,000248+163546,0.7041,16.5962,dE,6.94,
PGC218,000250+163742,0.7105,16.6284,dE,10.67,
PGC218,000306+161829,0.7791,16.3083,dE,16.13,
PGC218,000324+161111,0.8508,16.1865,dE,11.23,
PGC279,000417+204430,1.0715,20.7419,dE,5.66,
PGC218,000844+143529,2.1856,14.5916,dE,11.97,
PGC1160,001746+113147,4.442,11.5299,dE,6.95,
PGC1851,002922-332302,7.3456,-33.3839,dE,4.48,
PGC1851,003102-331613,7.7622,-33.2705,SP,13.95,
PGC1851,003155-331600,7.9815,-33.2668,TS,13.41,
PGC1851,003258-324548,8.2426,-32.7636,dE,7.82,
PGC2052,003351-275024,8.4651,-27.8401,UDG,19.46,
PGC2081,003414-081008,8.5585,-8.1691,dE,8.48,
PGC2052,003506-280306,8.7789,-28.0518,dE,13.09,
PGC2081,003637-082457,9.1542,-8.416,dE,5.82,
PGC2478,004103-210808,10.2636,-21.1356,dE,3.44,
PGC2778,004434-314204,11.1453,-31.7013,dE,2.36,
PGC2778,004643-313058,11.6808,-31.5163,dE,6.15,
PGC2980,005124-065818,12.8526,-6.9719,dE,3.55,
PGC3089,005236-310921,13.1524,-31.1561,BC,8.09,
PGC3089,005249-305753,13.2051,-30.9648,dE,3.7,
PGC3429,005733-040804,14.3901,-4.1345,dE,5.25,
PGC3572,005914-075715,14.8103,-7.9544,dE,5.67,
PGC3572,005916-073511,14.8192,-7.5867,dE,3.72,
PGC3572,005949-071341,14.9559,-7.2281,dE,3.99,
PGC3572,010149-073750,15.4583,-7.6308,dE,8.95,
PGC3768,010339-061053,15.9145,-6.1814,dE,6.85,
PGC3853,010528-060513,16.3697,-6.087,dE,4.0,
PGC4524,011231-020021,18.1301,-2.006,dE,4.43,
PGC144017,011258-060547,18.2435,-6.0967,dE,5.75,
PGC144017,011301-060220,18.2577,-6.039,dE,4.0,
PGC4524,011357-014238,18.49,-1.7108,dE,8.92,
PGC4524,011442-010550,18.6779,-1.0974,dE,2.52,
PGC4524,011445-011430,18.6876,-1.2417,dE,2.78,
PGC4524,011452-010543,18.7193,-1.0954,BC,4.98,0.0072
PGC4524,011501-012850,18.7568,-1.4807,dE,5.37,
PGC4524,011510-012818,18.795,-1.4719,dE,3.58,
PGC4524,011516-013457,18.8185,-1.5826,HD,8.76,
PGC4524,011638-013649,19.162,-1.6136,dE,5.39,
PGC4524,011809-013431,19.5404,-1.5755,dE,2.88,
PGC4801,011813+042329,19.5551,4.3914,dE,3.84,
PGC4801,011820+032558,19.5845,3.433,dE,3.6,
PGC4801,011923+031423,19.8488,3.2399,dE,5.43,
PGC4801,011926+032134,19.859,3.3596,dE,3.86,
PGC4801,011936+033129,19.9013,3.5248,dE,2.6,
PGC4801,011943+031446,19.9305,3.2463,dE,3.62,
PGC4801,012014+033659,20.0624,3.6166,dE,3.61,
PGC4801,012015+031325,20.0633,3.2237,dE,2.14,
PGC4801,012028+033632,20.1188,3.609,dE,5.21,
PGC4946,012028+061407,20.1198,6.2354,dE,3.91,
PGC4946,012035+051702,20.1465,5.284,dE,8.88,
PGC4946,012101+060009,20.2582,6.0026,dE,3.83,
PGC4946,012105+054542,20.2714,5.7618,dE,8.59,
PGC5222,012106+083954,20.2759,8.6652,dE,5.14,
PGC4948,012108+173607,20.2851,17.6022,dE,5.11,
PGC5222,012127+091048,20.3639,9.18,dE,8.23,0.0073
PGC4801,012132+034016,20.385,3.6713,dE,4.75,
PGC4946,012134+054207,20.3926,5.7022,dE,6.8,
PGC4801,012135+033348,20.3963,3.5634,dE,3.05,
PGC4948,012138+173328,20.4115,17.558,dE,3.44,
PGC4948,012158+173434,20.4941,17.5762,UDG,10.6,
PGC4801,012158+035815,20.4946,3.9711,dE,3.11,
PGC4946,012202+052201,20.512,5.3671,dE,4.87,0.0079
PGC5222,012204+085811,20.5175,8.9699,dE,4.2,
PGC4946,012212+051308,20.5526,5.2191,dE,9.63,
PGC5222,012230+084706,20.6259,8.7852,dE,2.8,
PGC5222,012230+084539,20.6265,8.7609,UDG,16.13,
PGC5222,012231+091652,20.6325,9.2814,BC,5.91,0.0093
PGC4946,012232+050816,20.6364,5.138,dE,9.56,
PGC4946,012238+053707,20.6615,5.6187,dE,5.02,
PGC5222,012243+092505,20.6799,9.4182,dE,5.75,
PGC5222,012247+090609,20.6998,9.1027,dE,2.99,
PGC5222,012249+094333,20.7055,9.7261,dE,6.51,
PGC5222,012256+084024,20.7342,8.6735,dE,7.54,
PGC5222,012257+090714,20.74,9.1207,dE,6.18,
PGC5222,012303+090606,20.7647,9.1018,dE,5.3,
PGC5222,012303+092101,20.7649,9.3503,dE,6.5,
PGC5222,012312+085331,20.8015,8.892,dE,8.97,
PGC5222,012323+090048,20.847,9.0136,dE,3.62,
PGC5222,012325+094503,20.8546,9.751,dE,4.85,
PGC4946,012337+045848,20.9061,4.98,dE,4.39,
PGC5222,012350+094753,20.9595,9.7983,dE,2.74,
PGC4946,012400+045441,21.0029,4.9115,dE,2.88,
PGC5222,012410+091655,21.0431,9.282,dE,8.84,
PGC4946,012412+050910,21.0541,5.1528,UDG,15.72,
PGC5222,012418+092908,21.0758,9.4857,dE,5.39,
PGC5222,012422+092621,21.0951,9.4392,dE,2.74,
PGC5222,012436+092813,21.1502,9.4703,dE,6.95,
PGC5222,012453+091343,21.2223,9.2288,dE,4.37,
PGC5222,012508+093628,21.2837,9.6078,dE,5.74,
PGC5222,012526+093722,21.3586,9.6228,dE,6.45,
PGC5222,012527+093109,21.3636,9.5192,dE,9.05,
PGC5222,012527+093502,21.3663,9.5841,dE,3.55,
PGC5222,012529+094339,21.3746,9.7277,dE,4.62,
PGC5222,012531+093925,21.3794,9.6572,dE,4.1,
PGC5222,012543+093318,21.4294,9.5552,dE,3.5,
PGC5663,012543-080910,21.432,-8.1529,UDG,15.76,
PGC5222,012552+093738,21.4674,9.6274,dE,3.61,
PGC5222,012610+093147,21.5454,9.5299,dE,8.35,
PGC5222,012655+094605,21.7313,9.7681,dE,3.99,
PGC5663,012851-065153,22.2126,-6.8649,dE,4.09,
PGC5619,013014-224140,22.5616,-22.6946,dE,9.79,
PGC5619,013022-225059,22.5939,-22.85,dE,3.84,
PGC5849,013156-292053,22.984,-29.3482,dE,7.62,
PGC5663,013224-070148,23.1008,-7.0301,dE,4.31,
PGC5663,013230-070045,23.1265,-7.0127,BC,8.51,
PGC5663,013234-065850,23.1428,-6.9806,dE,17.01,
PGC5663,013248-064136,23.202,-6.6936,dE,3.66,
PGC5663,013254-073221,23.2279,-7.5392,dE,5.51,
PGC5663,013326-070544,23.3589,-7.0957,dE,7.34,
PGC5663,013329-072035,23.3718,-7.3431,dE,8.02,
PGC5663,013339-064128,23.4137,-6.6912,dE,3.6,
PGC5849,013346-294127,23.4433,-29.691,dE,13.73,
PGC5663,013351-070956,23.4653,-7.1658,dE,9.24,
PGC5663,013412-074409,23.5506,-7.7361,BC,6.67,
PGC5663,013423-071635,23.5969,-7.2765,dE,4.65,
PGC5663,013446-072117,23.6948,-7.3548,dE,9.98,0.0064
PGC5849,013451-291017,23.7139,-29.1716,dE,7.52,
PGC5849,013507-290933,23.7828,-29.1593,dE,5.27,
PGC5663,013556-072832,23.9873,-7.4758,dE,8.15,
PGC5974,013717+153758,24.3235,15.6329,dE,6.2,
PGC5974,013739+160754,24.4152,16.1318,dE,6.07,
PGC6318,014146+132414,25.4445,13.4042,dE,6.33,
PGC6318,014355+133805,25.9814,13.6349,dE,5.13,
PGC6595,014432+283623,26.1342,28.6064,dE,5.69,
