host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout
NGC3115,dw1006m0630,151.5634,-6.5057,,4.22236191611703,,,,,,0,0
NGC3115,dw1006m0827,151.6488,-8.4648,,7.68841954266138,,,,,,0,0
NGC3344,dw1042p2415,160.5916,24.2505,,14.650682521115,,"(292, 229)",2434.2471797714943,166.25341782883243,u,1,1
NGC3344,dw1038p2501,159.5427,25.0283,,3.5371683678219,,"(289, 230)",3163.462987197646,5549.133884151922,u,1,1
NGC3344,dw1044p2559,161.1198,25.9934,,4.83525034603682,,"(290, 232)",8614.06193942223,4874.966725223102,u,1,1
NGC3344,dw1044p2610,161.1213,26.1782,,8.86602593858446,,"(290, 232)",8582.289713178641,8456.183256958862,u,1,1
NGC3344,dw1045p2606,161.2758,26.1048,,4.32483947110765,,"(290, 232)",5895.88711846906,7031.094761186083,u,1,1
NGC3379,UGC5812,160.2355,12.4728,,28.1059894867539,,,,,,0,0
NGC3379,dw1042p1220,160.5015,12.3351,,20.4934687403073,,,,,,0,0
NGC3379,dw1043p1410,160.7948,14.1799,,6.18987189588249,,,,,,0,0
NGC3379,M95,160.9904,11.7037,,,,,,,,0,0
NGC3379,dw1044p1154,161.2394,11.9162,,10.9069745209913,,,,,,0,0
NGC3379,M96,161.6907,11.8199,,,,,,,,0,0
NGC3379,NGC3377,161.9264,13.9858,,,,,,,,0,0
NGC3379,NGC3384,162.0705,12.6292,,,,,,,,0,0
NGC3379,dw1048p1154,162.1039,11.9123,,24.7517767496516,,,,,,0,0
NGC3379,dw1048p1259,162.2174,12.9954,,13.3802244874869,,,,,,0,0
NGC3379,NGC3412,162.722,13.4121,,,,,,,,0,0
NGC3379,dw1044p1132,161.0306,11.5344,,7.50649678061863,,,,,,0,0
NGC3379,dw1046p1342,161.6272,13.7011,,4.5725244898889,,,,,,0,0
NGC3379,dw1047p1145,161.949,11.7622,,7.92095410158242,,,,,,0,0
NGC3379,dw1048p1121,162.096,11.3523,,11.0052876529409,,,,,,0,0
NGC3379,dw1049p1057,162.4172,10.9555,,4.61878949315928,,,,,,0,0
NGC3379,dw1054p1217,163.7206,12.2967,,7.26746093038835,,,,,,0,0
NGC3521,dw1104p0005,166.1711,0.0936,,11.8307599583156,,,,,,0,0
NGC3521,dw1105p0006,166.4217,0.1163,,62.8702496041373,,,,,,0,0
NGC3521,dw1109m0016,167.3283,-0.2771,,16.6006336027797,,,,,,0,0
NGC3521,dw1110p0037,167.6231,0.6169,,14.652167843767,,,,,,0,0
NGC3521,dw1111p0049,167.8493,0.8315,,15.5251099702056,,,,,,0,0
NGC3521,dw1104p0033,166.2068,0.5506,,6.22846048864,,,,,,0,0
NGC3556,dw1119p5543,169.9523,55.7224,,9.35643079227666,,"(193, 291)",9585.32000438892,9323.794405179764,ugiz,4,1
NGC3556,dw1104p5534,166.1661,55.5745,,5.45791796216139,,"(188, 291)",2726.9819064008057,6447.128292246452,ugiz,4,1
NGC3556,dw1110p5429,167.6471,54.4973,,5.05618755418275,,"(195, 289)",7845.669427123896,4952.788612796354,ugriz,5,1
NGC3556,dw1113p5529,168.2805,55.4926,,7.10371673033194,,"(191, 291)",8583.363242646092,4865.006622303216,ugiz,4,1
NGC3556,dw1113p5644,168.3996,56.7355,,4.91579789548054,,"(186, 293)",6040.590416996627,9564.514978432318,giz,3,1
NGC3556,dw1116p5537,169.1718,55.6168,,4.95899471354276,,"(192, 291)",8478.588348156884,7271.429301522314,ugiz,4,1
NGC3556,dw1123p5602,170.832,56.0487,,5.11666309946986,,"(191, 292)",4457.258236938615,5943.952780702253,ugiz,4,1
NGC3627,NGC3593,168.6539,12.8178,,56.2690391442079,,,,,,0,0
NGC3627,dw1114p1238,168.6877,12.6477,,7.20944608501756,,,,,,0,0
NGC3627,dw1117p1305,169.2544,13.0993,,14.2342360577758,,,,,,0,0
NGC3627,NGC3623,169.733,13.0924,,,,,,,,0,0
NGC3627,dw1119p1419,169.8029,14.3272,,24.6948083745928,,,,,,0,0
