host,ID,ra,dec,morph,re,zspec
NGC5457,dw1403p5337,210.7728,53.6147,,27.1412751974064,
NGC5457,NGC5474,211.2561,53.6617,,92.984174656191,
NGC6744,dw1905m6316,286.4831,-63.2721,,9.48126718324642,
NGC6744,dw1906m6357,286.7415,-63.9636,,17.4022966700763,
NGC6744,dw1907m6342,286.8439,-63.7064,,7.99016852802998,
NGC6744,dw1908m6343,287.183,-63.7301,,39.7826043065629,
NGC6744,dw1911m6413,287.8437,-64.2226,,35.8693345746347,
NGC6744,dw1859m6402,284.8605,-64.0396,,6.57742745284037,
NGC6744,dw1901m6315,285.3732,-63.2594,,17.9346672873174,
NGC6744,dw1903m6449,285.843,-64.8277,,7.11901660890816,
NGC6744,dw1903m6405,285.9146,-64.0985,,5.53342793071819,
NGC6744,dw1909m6341,287.2847,-63.6853,,8.26672469283055,
NGC6744,dw1912m6432,288.0953,-64.5419,,5.87681850201224,
NGC0448,MATLAS-1,18.2998,-2.0792,dI  ,0.0,
NGC0448,MATLAS-2,18.3236,-1.1708,dE  ,3.81,
NGC0448,MATLAS-3,18.3396,-1.8231,dI  ,4.54,
NGC0448,MATLAS-4,18.4198,-1.9169,dI  ,0.0,
NGC0448,MATLAS-9,18.7782,-1.2741,dIN ,0.0,
NGC0448,MATLAS-11,18.7967,-1.1504,dI  ,0.0,
NGC0448,MATLAS-13,18.8402,-1.1981,dI  ,0.0,
NGC0448,MATLAS-14,18.9516,-1.3149,dE  ,2.39,
NGC0448,MATLAS-15,18.9577,-1.3915,dE  ,4.28,
NGC0448,MATLAS-16,18.9681,-1.4602,dI  ,0.0,
NGC0448,MATLAS-17,19.1392,-1.8167,dI  ,0.0,
NGC0448,MATLAS-18,19.2337,-2.0258,dE  ,3.48,
NGC0474,MATLAS-22,19.6847,3.4907,dE  ,3.65,
NGC0474,MATLAS-23,19.7116,3.5617,dI  ,0.0,
NGC0474,MATLAS-29,20.1466,3.1456,dE  ,7.59,
NGC0502,MATLAS-31,20.3402,8.8382,dE  ,4.12,
NGC0502,MATLAS-37,20.531,9.1407,dI  ,0.0,
NGC0502,MATLAS-38,20.5753,9.1776,dI  ,0.0,
NGC0502,MATLAS-39,20.5831,9.0089,dE  ,2.42,
NGC0502,MATLAS-40,20.5962,9.0368,dE  ,4.96,
NGC0502,MATLAS-41,20.6222,8.7659,dE  ,0.0,
NGC0502,MATLAS-47,20.7197,9.1419,dE  ,2.3,
NGC0502,MATLAS-51,20.7996,9.2761,dI  ,0.0,
NGC0502,MATLAS-52,20.7998,8.7176,dE  ,2.48,
NGC0502,MATLAS-54,20.8212,9.3629,dE  ,6.16,
NGC0524,MATLAS-55,20.8342,9.4761,dE  ,3.02,
NGC0502,MATLAS-56,20.8424,9.1637,dE  ,5.88,
NGC0502,MATLAS-58,20.8537,8.9194,dE  ,4.66,
NGC0502,MATLAS-60,20.8566,8.9779,dEN ,4.83,
NGC0502,MATLAS-61,20.8817,9.2798,dE  ,0.0,
NGC0524,MATLAS-62,20.959,9.4115,dI  ,0.0,
NGC0502,MATLAS-64,20.9858,9.0735,dE  ,3.05,
NGC0525,MATLAS-65,20.9905,10.1382,dE  ,6.16,
NGC0524,MATLAS-66,21.0339,9.6318,dE  ,2.76,
NGC0525,MATLAS-67,21.0381,9.8522,dI  ,0.0,
NGC0502,MATLAS-69,21.0565,8.5232,dE  ,2.99,
NGC0525,MATLAS-70,21.0623,9.7424,dE  ,0.0,
NGC0525,MATLAS-71,21.0757,9.7595,dE  ,5.38,
NGC0502,MATLAS-73,21.0794,8.8299,dEN ,5.57,
NGC0525,MATLAS-74,21.0877,9.7005,dE  ,3.29,
NGC0525,MATLAS-75,21.0934,10.0359,dE  ,6.43,
NGC0524,MATLAS-77,21.1004,9.388,dE  ,0.0,
NGC0502,MATLAS-78,21.1104,8.7518,dE  ,6.07,
