host,ID,ra,dec,morph,re,z,tile,x,y,bands,n_bands,cutout
NGC3344,dw1042p2501,160.6815,25.025,,7.654062667662108,,"(291, 230)",2541.4093058987105,5485.7448612809585,['u'],1,0
NGC3344,dw1045p2427,161.3793,24.4657,,9.183194836174188,,"(294, 229)",7928.715894886123,4337.058925390978,['u'],1,0
NGC3344,dw1038p2501,159.5427,25.0283,,3.5371683678218973,,"(289, 230)",3163.462987197646,5549.133884151922,['u'],1,0
NGC3344,dw1044p2559,161.1198,25.9934,,4.835250346036821,,"(290, 232)",8614.06193942223,4874.966725223102,['u'],1,0
NGC3344,dw1044p2610,161.1213,26.1782,,8.866025938584459,,"(290, 232)",8582.289713178641,8456.183256958862,['u'],1,0
NGC3344,dw1045p2606,161.2758,26.1048,,4.324839471107651,,"(290, 232)",5895.88711846906,7031.094761186083,['u'],1,0
NGC3379,UGC5812,160.2355,12.4728,,28.10598948675388,,,,,,0,0
NGC3379,dw1042p1220,160.5015,12.3351,,20.493468740307303,,,,,,0,0
NGC3379,dw1042p1359,160.6886,13.9905,,5.330113918441322,,,,,,0,0
NGC3379,dw1043p1410,160.7948,14.1799,,6.18987189588249,,,,,,0,0
NGC3379,dw1043p1415,160.9572,14.2554,,7.766737424014495,,,,,,0,0
NGC3379,M95,160.9904,11.7037,,,,,,,,0,0
NGC3379,dw1044p1154,161.2394,11.9162,,10.90697452099132,,,,,,0,0
NGC3379,M96,161.6907,11.8199,,,,,,,,0,0
NGC3379,NGC3377,161.9264,13.9858,,,,,,,,0,0
NGC3379,NGC3384,162.0705,12.6292,,,,,,,,0,0
NGC3379,dw1048p1154,162.1039,11.9123,,24.751776749651565,,,,,,0,0
NGC3379,dw1048p1259,162.2174,12.9954,,13.380224487486878,,,,,,0,0
NGC3379,dw1050p1236,162.6486,12.6093,,10.64673387759545,,,,,,0,0
NGC3379,NGC3412,162.722,13.4121,,,,,,,,0,0
NGC3379,dw1040p1216,160.1211,12.2728,,11.974925013149186,,,,,,0,0
NGC3379,dw1043p1253,160.9016,12.8988,,5.459270385904457,,,,,,0,0
NGC3379,dw1044p1132,161.0306,11.5344,,7.506496780618628,,,,,,0,0
NGC3379,dw1045p1315,161.2789,13.2652,,6.746979643596609,,,,,,0,0
NGC3379,dw1046p1342,161.6272,13.7011,,4.572524489888902,,,,,,0,0
NGC3379,dw1047p1145,161.949,11.7622,,7.92095410158242,,,,,,0,0
NGC3379,dw1048p1121,162.096,11.3523,,11.005287652940869,,,,,,0,0
NGC3379,dw1049p1057,162.4172,10.9555,,4.618789493159279,,,,,,0,0
NGC3379,dw1054p1217,163.7206,12.2967,,7.267460930388348,,,,,,0,0
NGC3521,dw1104p0005,166.1711,0.0936,,11.830759958315598,,,,,,0,0
NGC3521,dw1105p0006,166.4217,0.1163,,62.870249604137285,,,,,,0,0
NGC3521,dw1106m0126,166.5313,-1.4476,,14.237796581216983,,,,,,0,0
NGC3521,dw1106m0052,166.6084,-0.8797,,11.709211054634272,,,,,,0,0
NGC3521,dw1107m0038,166.776,-0.6338,,6.326067941596214,,,,,,0,0
NGC3521,dw1109m0016,167.3283,-0.2771,,16.600633602779702,,,,,,0,0
NGC3521,dw1110p0037,167.6231,0.6169,,14.652167843766954,,,,,,0,0
NGC3521,dw1111p0049,167.8493,0.8315,,15.525109970205555,,,,,,0,0
NGC3521,dw1104p0033,166.2068,0.5506,,6.228460488639999,,,,,,0,0
NGC3556,dw1119p5543,169.9523,55.7224,,9.356430792276663,,"(193, 291)",9585.32000438892,9323.794405179764,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1104p5534,166.1661,55.5745,,5.457917962161388,,"(188, 291)",2726.9819064008057,6447.128292246452,"['u', 'g', 'i', 'z']",4,0
