,ID,ra,dec,re
246,033955-364402,54.9790833333333,-36.7338611111111,4.212
247,034005-374545,55.0194583333333,-37.7624444444445,5.523
248,034036-364759,55.1486666666667,-36.7998055555556,3.945
249,034058-375321,55.2414166666667,-37.8891388888889,5.88
250,034107-370125,55.2774166666667,-37.0236944444444,6.329
251,034113-375821,55.302625,-37.9723888888889,2.365
252,034118-344444,55.323875,-34.7455277777778,5.786
253,034136-372237,55.40125,-37.3768333333333,1.955
254,034146-372859,55.4412083333333,-37.4831111111111,4.838
255,034158-362823,55.4913333333333,-36.4731111111111,2.635
256,034160-370018,55.4979583333333,-37.0049166666667,13.481
257,034160-373802,55.4990833333333,-37.634,6.154
258,034213-343223,55.554875,-34.5398055555556,2.726
259,034219-370424,55.5791666666667,-37.0732777777778,7.857
260,034236-341427,55.6494583333333,-34.2408888888889,3.639
261,034239-343953,55.66275,-34.6646666666667,6.494
262,034242-370401,55.6753333333333,-37.0668055555556,2.785
263,034302-351503,55.7562916666667,-35.2508611111111,5.975
264,034320-371344,55.8329166666667,-37.229,3.879
265,034325-370632,55.852125,-37.1088611111111,6.995
266,034339-352513,55.9109166666667,-35.4203888888889,4.216
267,034405-374533,56.0189166666667,-37.7590277777778,2.823
268,034427-353956,56.113125,-35.6655833333333,13.832
269,034504-333732,56.2665833333333,-33.6256388888889,3.043
270,034517-365827,56.3212083333333,-36.9741388888889,8.067
271,034522-353619,56.3411666666667,-35.6032777777778,2.3
272,034534-370459,56.3902916666667,-37.0829722222222,18.708
273,034541-345002,56.4205833333333,-34.8338611111111,2.671
274,034550-355825,56.4587916666667,-35.9736944444445,8.18
275,034552-335031,56.4672083333333,-33.8418333333333,2.959
276,034557-353626,56.486625,-35.6071111111111,6.657
277,034608-364921,56.53325,-36.8225555555556,16.083
278,034615-344531,56.5625,-34.7586944444444,4.126
279,034618-364713,56.575625,-36.7870277777778,3.655
280,034618-334550,56.5758333333333,-33.7635,16.769
281,034634-352022,56.6406666666667,-35.3393888888889,2.367
282,034637-364149,56.6554583333333,-36.6970555555556,3
283,034647-350016,56.6963333333333,-35.0045555555556,3.634
284,034658-350352,56.7397916666667,-35.0643333333333,3.873
285,034701-362615,56.755625,-36.4375833333333,15.045
286,034708-361937,56.7839166666667,-36.3270555555556,16.035
287,034724-355319,56.8512916666667,-35.8885833333333,2.435
288,034737-362149,56.905875,-36.3637222222222,9.306
289,034744-350259,56.935,-35.0498055555556,4.627
290,034746-360923,56.9419583333333,-36.1563888888889,2.77
291,034753-362818,56.9695,-36.4716944444444,22.81
292,034803-364127,57.0125416666667,-36.6909444444444,6.707
293,034804-364446,57.01775,-36.7460833333333,8.815
294,034819-354617,57.0779166666667,-35.7714444444444,4.223
295,034821-362047,57.0852916666667,-36.3463611111111,4.647
296,034822-360622,57.0905,-36.1061666666667,11.698
297,034853-335708,57.2224583333333,-33.9523333333333,2.328
298,034855-355710,57.231,-35.9528611111111,5.998
299,034906-343156,57.2750833333333,-34.5322222222222,2.537
300,034917-365307,57.3225416666667,-36.8852222222222,6.27
301,035009-362439,57.5386666666667,-36.4108888888889,8.374
302,035022-353945,57.59025,-35.6625277777778,5.26
303,035101-364102,57.7553333333333,-36.68375,11.474
304,FDSLSB1  ,55.6888,-35.472,2
305,FDSLSB2  ,55.36,-35.3797,2.7
306,FDSLSB3  ,56.0367,-35.1445,2
307,FDSLSB4  ,55.5467,-35.4432,11.2
308,FDSLSB5  ,55.6311,-35.0248,3.3
309,FDSLSB6  ,55.3456,-35.8966,5.5
310,FDSLSB7  ,55.697,-35.3898,3.1
311,FDSLSB8  ,56.2119,-35.7884,5.4
312,FDSLSB9  ,56.3158,-35.2712,2.4
313,FDSLSB10 ,55.7587,-35.3283,7.3
314,FDSLSB11 ,55.8614,-35.4978,1.8
315,FDSLSB12 ,55.2824,-35.4126,2.3
316,FDSLSB13 ,55.3112,-35.451,4.1
317,FDSLSB14 ,56.1882,-35.2697,7.6
318,FDSLSB15 ,55.9851,-35.8301,3.7
319,FDSLSB16 ,56.2082,-35.5355,2.5
320,FDSLSB17 ,56.1431,-35.1818,11.9
321,FDSLSB18 ,55.8573,-35.2292,5.4
322,FDSLSB19 ,49.9763,-36.4139,2.2
323,FDSLSB20 ,49.8691,-36.8686,2
