---,ID,ra,dec,re,E_Re,Re-bias,e_Re,f_Re,b/a,E_b/a,b/a-bias,e_b/a,f_b/a,n,E_n,n-bias,e_n,f_n,PA,E_PA,PA-bias,e_PA,f_PA,mu0g,E_mu0g,mu0g-bias,e_mu0g,f_mu0g,mu0r,E_mu0r,mu0r-bias,e_mu0r,f_mu0r,mu0z,E_mu0z,mu0z-bias,e_mu0z,f_mu0z,gmag,E_gmag,gmag-bias,e_gmag,f_gmag,rmag,E_rmag,rmag-bias,e_rmag,f_rmag,zmag,E_zmag,zmag-bias,e_zmag,f_zmag,VC,SFD,Ag,Ar,Az,comp,f_comp,cz,n_cz,sigma,MassTot,sigEnv,Nenv,Ref
SMDG,0239252-050550,39.85515,-5.09717,5.56,-0.31,0.01,0.49,0,0.55,-0.05,0.01,0.05,0,0.57,-0.07,0.01,0.1,0,-48.23,-2.97,0,2.75,0,25.21,-0.23,0.03,0.09,0,24.93,-0.25,0.04,0.11,0,24.72,-0.3,0.07,0.15,0,20.59,-0.2,0,0.1,0,20.3,-0.22,0.02,0.11,0,20.1,-0.29,0.04,0.14,0,0,0.03,0.1,0.07,0.04,0.49,0,0,none  ,0,0,0,0,D 
SMDG,0239279+020854,39.86625,2.14842,5.79,-0.33,0.01,0.52,0,0.83,-0.05,0,0.05,0,0.74,-0.06,-0.01,0.13,0,77.75,-10.2,0,10.1,0,24.97,-0.25,0.05,0.06,0,24.28,-0.22,0.04,0.06,0,23.86,-0.22,0.04,0.08,0,20.07,-0.24,0.03,0.07,0,19.38,-0.2,0.02,0.07,0,18.95,-0.19,0.01,0.1,0,0,0.03,0.11,0.08,0.04,0.52,0,0,none  ,0,0,0,0,D 
SMDG,0239385-072825,39.91025,-7.47357,9.03,-0.38,-0.44,1.9,0,0.52,-0.05,0.01,0.05,0,0.72,-0.06,-0.05,0.21,0,-77.24,-2.99,0,3.11,0,25.55,-0.29,0.08,0.09,0,25.09,-0.29,0.07,0.09,0,24.88,-0.37,0.12,0.11,0,20.17,-0.32,0.08,0.07,0,19.7,-0.32,0.08,0.08,0,19.5,-0.41,0.13,0.07,0,0,0.02,0.07,0.05,0.03,0.42,0,0,none  ,0,0,0,0,D 
SMDG,0239458-293354,39.94098,-29.56501,6.63,-0.27,0.04,0.27,0,0.65,-0.03,0.01,0.03,0,0.8,-0.05,0,0.06,0,-86.86,-2.09,0,2.03,0,24.11,-0.19,0.02,0.04,0,23.54,-0.18,0.03,0.04,0,23.21,-0.18,0.02,0.06,0,19.29,-0.17,0,0.06,0,18.71,-0.15,0,0.06,0,18.39,-0.16,0,0.08,0,0,0.02,0.07,0.05,0.03,0.58,0,0,none  ,0,0,0,0,D 
SMDG,0240082-075650,40.03401,-7.94721,8.6,-0.36,-0.03,0.64,0,0.74,-0.03,0,0.03,0,0.8,-0.04,-0.01,0.08,0,4.24,-3.7,0,3.67,0,24.61,-0.21,0.04,0.05,0,24.07,-0.18,0.03,0.05,0,23.76,-0.18,0.03,0.07,0,19.06,-0.2,0.02,0.06,0,18.52,-0.2,0.02,0.06,0,18.21,-0.19,0.02,0.07,0,0,0.02,0.08,0.05,0.03,0.55,0,0,none  ,0,0,0,0,D 
SMDG,0240197-075905,40.08189,-7.98463,7.34,-0.28,0.04,0.26,0,0.79,-0.02,0,0.02,0,0.81,-0.04,0,0.04,0,-21.56,-3.15,0,3.19,0,24.05,-0.17,0.02,0.03,0,23.46,-0.16,0.02,0.03,0,23.14,-0.15,0.02,0.05,0,18.79,-0.16,0,0.05,0,18.21,-0.15,0,0.05,0,17.88,-0.14,0,0.06,0,0,0.02,0.08,0.05,0.03,0.57,0,0,none  ,0,0,0,0,D 
SMDG,0240288-081436,40.11993,-8.24338,9.27,-0.18,-1.31,4.47,0,0.83,-0.06,-0.02,0.06,0,0.75,-0.04,-0.11,0.35,0,70.18,-17.72,0,18.97,0,26.07,-0.43,0.15,0.05,0,25.64,-0.45,0.17,0.04,0,25.42,-0.62,0.3,-0.02,0,20.15,-0.67,0.28,-0.03,0,19.71,-0.72,0.3,-0.04,0,19.5,-0.82,0.42,-0.11,0,0,0.03,0.09,0.06,0.03,0.32,0,0,none  ,0,0,0,0,D 
SMDG,0240360-092951,40.1501,-9.49755,6.03,-0.29,-0.3,1.55,0,0.51,-0.06,0.01,0.06,0,0.74,-0.07,-0.05,0.29,0,-5.92,-3.96,0,3.99,0,25.38,-0.4,0.1,0.1,0,24.86,-0.39,0.1,0.1,0,24.61,-0.43,0.12,0.13,0,20.91,-0.34,0.06,0.09,0,20.39,-0.32,0.05,0.1,0,20.15,-0.39,0.08,0.12,0,0,0.02,0.08,0.05,0.03,0.4,0,0,none  ,0,0,0,0,D 
SMDG,0240432-270415,40.1802,-27.07095,5.73,0.23,-2.78,8.61,0,0.71,-0.1,-0.03,0.1,0,0.85,0.01,-0.41,1.05,0,48.24,-21.3,0,23.46,0,26.29,-1.22,0.54,-0.04,0,25.42,-0.92,0.34,0.03,0,24.82,-0.7,0.24,0.06,0,21.75,-1.26,0.61,-0.14,1,20.88,-1.03,0.39,-0.04,0,20.29,-0.73,0.25,0.04,0,0,0.02,0.05,0.04,0.02,0.15,0,0,none  ,0,0,0,0,D 
SMDG,0240454-073848,40.18928,-7.64676,7.01,-0.36,0.04,0.35,0,0.91,-0.03,0,0.03,0,0.71,-0.05,0,0.07,0,-82.73,-15.46,0,13.8,0,24.84,-0.18,0.04,0.04,0,24.55,-0.21,0.05,0.05,0,24.4,-0.24,0.07,0.07,0,19.38,-0.19,0.03,0.05,0,19.09,-0.22,0.04,0.06,0,18.93,-0.25,0.06,0.07,0,0,0.02,0.08,0.05,0.03,0.54,0,0,none  ,0,0,0,0,D 
