SMDG0003193+173804   0.83027  17.63454   5.86  -0.22  -0.50   2.61 0 0.49  -0.07   0.01   0.07 0 0.83  -0.06  -0.11   0.49 0 -65.22  -4.28   0.00   4.59 0  25.40  -0.57   0.17   0.09 0  24.68  -0.46   0.12   0.10 0  24.16  -0.36   0.09   0.13 0  21.17  -0.50   0.12   0.07 0  20.45  -0.35   0.06   0.10 0  19.93  -0.27   0.04   0.15 0 0 0.02 0.08 0.06 0.03   0.33 0     0 none     0.0  0.00    0   0 D
SMDG0003241+161111   0.85060  16.18649  14.93  -0.64  -0.13   1.24 0 0.81  -0.02  -0.00   0.02 0 0.49  -0.04  -0.00   0.05 0  42.66  -5.30   0.00   5.38 0  25.65  -0.23   0.03   0.06 0  24.99  -0.19   0.02   0.06 0  24.52  -0.19   0.04   0.05 0  18.36  -0.31   0.06   0.07 0  17.69  -0.28   0.05   0.08 0  17.22  -0.27   0.06   0.07 0 0 0.04 0.15 0.10 0.06   0.39 0     0 none     0.0  0.00    0   0 D
SMDG0003278-022157   0.86598  -2.36582   7.83  -0.31  -0.23   1.38 0 0.65  -0.04   0.01   0.04 0 1.10  -0.03  -0.05   0.21 0  -9.55  -2.72   0.00   2.82 0  24.14  -0.33   0.08   0.03 0  23.68  -0.31   0.07   0.04 0  23.33  -0.30   0.08   0.05 0  19.44  -0.27   0.04   0.06 0  18.98  -0.26   0.04   0.06 0  18.63  -0.24   0.04   0.08 0 0 0.03 0.11 0.08 0.04   0.55 0     0 none     0.0  0.00    0   0 D
SMDG0004077-140701   1.03188 -14.11707   6.59  -0.34   0.01   0.55 0 0.53  -0.04   0.01   0.04 0 0.52  -0.07   0.00   0.08 0   5.52  -2.71   0.00   2.67 0  25.41  -0.21   0.03   0.09 0  24.90  -0.20   0.02   0.11 0  24.77  -0.26   0.06   0.15 0  20.39  -0.19   0.01   0.10 0  19.88  -0.18   0.00   0.10 0  19.76  -0.24   0.04   0.14 0 0 0.04 0.12 0.08 0.05   0.50 0     0 none     0.0  0.00    0   0 D
SMDG0004118+163159   1.04902  16.53296  12.10  -0.47  -0.10   0.99 0 0.55  -0.02   0.00   0.02 0 0.77  -0.04  -0.01   0.07 0  33.33  -1.63   0.00   1.54 0  24.73  -0.17   0.03   0.05 0  24.14  -0.17   0.02   0.05 0  23.76  -0.17   0.03   0.06 0  18.72  -0.19   0.02   0.07 0  18.13  -0.18   0.01   0.07 0  17.74  -0.17   0.01   0.08 0 0 0.04 0.14 0.10 0.05   0.53 0     0 none     0.0  0.00    0   0 D
SMDG0004165+165200   1.06878  16.86640   8.47  -0.38  -0.35   1.52 0 0.65  -0.05   0.00   0.05 0 0.70  -0.05  -0.04   0.18 0   8.90  -4.82   0.00   4.85 0  25.47  -0.28   0.06   0.08 0  24.91  -0.27   0.06   0.08 0  24.68  -0.30   0.08   0.10 0  19.94  -0.31   0.07   0.06 0  19.39  -0.30   0.06   0.07 0  19.16  -0.34   0.09   0.09 0 0 0.03 0.11 0.08 0.04   0.47 0     0 none     0.0  0.00    0   0 D
SMDG0004214-540755   1.08933 -54.13183   5.42  -0.17  -0.74   3.55 0 0.80  -0.06  -0.00   0.06 0 1.34  -0.01  -0.21   0.74 0  54.09 -12.25   0.00  13.34 0  24.18  -0.82   0.29  -0.00 0  23.63  -0.77   0.26   0.02 0  23.32  -0.75   0.26   0.04 0  20.48  -0.53   0.15   0.05 0  19.93  -0.48   0.12   0.06 0  19.62  -0.45   0.11   0.07 0 0 0.01 0.04 0.03 0.02   0.42 0     0 none     0.0  0.00    0   0 D
SMDG0004253-523754   1.10524 -52.63176   7.81  -0.18  -0.94   3.81 0 0.81  -0.07  -0.02   0.07 0 0.62  -0.05  -0.10   0.36 0 -59.20 -22.36   0.00  22.20 0  26.49  -0.58   0.20   0.02 0  25.91  -0.55   0.19   0.05 0  25.43  -0.54   0.22   0.02 0  20.77  -0.80   0.31  -0.05 0  20.20  -0.72   0.27  -0.02 0  19.71  -0.63   0.28  -0.03 0 0 0.02 0.05 0.03 0.02   0.22 0 10121 z_est   58.0  0.00  398   9 D
SMDG0004279+265746   1.11625  26.96276   5.38  -0.34  -0.12   1.11 0 0.62  -0.07   0.00   0.07 0 0.50  -0.07  -0.02   0.20 0 -12.12  -6.53   0.00   6.45 0  25.92  -0.36   0.07   0.11 0  25.61  -0.48   0.12   0.09 0  24.88  -0.29   0.06   0.15 0  21.15  -0.40   0.07   0.09 0  20.83  -0.51   0.12   0.07 0  20.10  -0.30   0.05   0.13 0 0 0.05 0.17 0.11 0.06   0.36 0     0 none     0.0  0.00    0   0 D
SMDG0004301+165012   1.12541  16.83654  10.80  -0.26  -0.62   2.41 0 0.95  -0.04  -0.00   0.04 0 0.84  -0.03  -0.05   0.16 0 -82.75 -31.13   0.00  33.61 0  25.14  -0.21   0.07   0.02 0  24.48  -0.21   0.06   0.02 0  23.98  -0.20   0.05   0.03 0  18.89  -0.37   0.13   0.02 0  18.23  -0.33   0.09   0.02 0  17.73  -0.27   0.08   0.04 0 0 0.04 0.12 0.08 0.05   0.50 0     0 none     0.0  0.00    0   0 D
