tile,bands,u_n_valid_pixels,u_sum_pixel_values,u_sum_pixel_values_squared,u_min,u_max,u_frac_zeros,u_kurtosis,g_n_valid_pixels,g_sum_pixel_values,g_sum_pixel_values_squared,g_min,g_max,g_frac_zeros,g_kurtosis,r_n_valid_pixels,r_sum_pixel_values,r_sum_pixel_values_squared,r_min,r_max,r_frac_zeros,r_kurtosis,i_n_valid_pixels,i_sum_pixel_values,i_sum_pixel_values_squared,i_min,i_max,i_frac_zeros,i_kurtosis,z_n_valid_pixels,z_sum_pixel_values,z_sum_pixel_values_squared,z_min,z_max,z_frac_zeros,z_kurtosis
"(252, 287)",ugriz,100000000.0,103149189.71768047,1578309970929.7966,-6610.99462890625,38861.40234375,0.00010093,57275.299087445346,100000000.0,6458818.29242477,1239515932.3202944,-68.5836410522461,1643.2535400390625,0.0,23107.9480953811,100000000.0,371652399.6554899,1769632369851.978,-1584.308349609375,13452.1884765625,2.48e-06,2981.3551551427745,100000000.0,32527371765.44025,2.3569904373894304e+16,-182196.125,978887.0625,0.0,2309.3807887923554,100000000.0,-253297548957.16714,5171125763001627.0,-56533.109375,1807.5877685546875,0.0,15.432002488415861
"(203, 282)",ugriz,100000000.0,100084424.47380769,1398922733891.5571,-236.24432373046875,45368.453125,1.827e-05,93636.06377128047,100000000.0,5030911.8285024585,613469485.8707026,-9.775733947753906,1252.6097412109375,0.0,44085.79781361284,100000000.0,195516277.31173494,885111156706.2523,-1790.8297119140625,14578.0263671875,7.71e-06,5203.45096679909,100000000.0,29431860486.878414,2.2071964827419148e+16,-229242.0625,1075219.5,0.0,2647.6866866133173,100000000.0,14098154.188278042,2956283090.1892414,-18.787918090820312,2220.783935546875,0.0,31053.037340161423
"(150, 276)",ugriz,100000000.0,852848281.5459138,20152744244739.867,-9145.2373046875,52157.04296875,8.74e-06,5882.762141998998,100000000.0,13926447.857977914,2010248327.8585865,-96.27710723876953,1609.5272216796875,0.0,9899.948083761805,100000000.0,1794728036.4939823,6459133785163.114,-1704.880126953125,12074.3125,0.00027556,569.3600803126409,100000000.0,257669590837.05045,2.349394597928971e+17,-317208.1875,1417089.5,0.0,369.1282036787637,100000000.0,44184379.40390468,12628569429.413225,-86.6036605834961,2326.710205078125,0.0,4303.548602067336
"(236, 279)",ugriz,100000000.0,607164578.3014673,2495772890712.156,-7011.2509765625,54878.56640625,0.36531153,44140.884461924434,100000000.0,4215006.336969589,378308873.141322,-13.258341789245605,1303.0283203125,0.0,64486.22325333035,100000000.0,110728027.29140174,1441054590232.7273,-2134.7646484375,13197.6650390625,0.00583677,5869.145029396611,100000000.0,33184699308.539726,3.1523962776069428e+16,-379091.3125,1808985.75,0.0,3720.3671414964747,100000000.0,7522653132.211057,7161550265959.804,-4901.416015625,2359.332275390625,0.0,92.68502704732106
"(161, 285)",ugriz,100000000.0,411966236.8212366,1043147197562.5233,-4471.99609375,37507.6015625,0.44930605,44052.155673781774,100000000.0,5897227.0244154995,987898892.4259349,-14.270330429077148,1445.4326171875,0.0,36161.50694199481,100000000.0,279016481.35940504,2103160320950.6724,-2075.3818359375,13594.8515625,0.00065265,4499.950681759722,100000000.0,75538842670.47389,1.0417625553512723e+17,-558520.5625,2056230.0,0.0,2016.28097282971,100000000.0,6165067.466114391,2242462887.280883,-82.13543701171875,2529.08837890625,0.0,29752.321712711582
"(202, 286)",ugriz,100000000.0,102522293.60880005,1654922780806.398,-1326.5423583984375,45628.8203125,0.00016452,67334.84166892005,100000000.0,5060018.131233962,514395200.30040723,-45.972801208496094,1252.9132080078125,0.0,43714.15160413909,100000000.0,312873972.4446654,1700468388809.367,-1848.4993896484375,11710.8330078125,4.73e-06,3594.9851860007457,100000000.0,76846921270.51184,7.38997039147803e+16,-293458.0,1307224.625,0.0,1270.7228647452082,100000000.0,16200827.714912418,3364712088.048715,-16.914928436279297,2160.284423828125,0.0,21845.992741205937
"(287, 281)",ugriz,100000000.0,119637707.38404754,1701472242350.7192,-4326.66162109375,38766.72265625,7.691e-05,46686.13607259203,100000000.0,5584324.435210665,572816117.8281748,-11.011216163635254,1252.891845703125,0.0,45943.43309410114,100000000.0,300479926.66667473,2105960063352.542,-2565.5390625,15770.15234375,1.455e-05,5416.145224594018,100000000.0,37697517434.45483,1.9921835656468176e+16,-161192.71875,918599.125,0.0,1563.322091983905,100000000.0,19463707.170661062,3335795067.627137,-124.53288269042969,2390.464599609375,0.0,15085.672764365167
"(328, 282)",ugriz,100000000.0,176410641.96284562,2758327047683.2686,-2665.726318359375,51538.0,5.573e-05,56038.43944192517,100000000.0,9899433.587201003,1994084514.8018525,-172.99444580078125,1854.806884765625,0.0,31708.97652996464,100000000.0,451953794.28124857,2674415165336.057,-2576.7177734375,13779.419921875,1.065e-05,2975.792406802183,100000000.0,32003416521.64784,1.3443402654614596e+16,-116688.203125,618528.75,0.0,1357.4323923240997,100000000.0,41732418.53252992,6560329897.08716,-48.80120086669922,2529.06298828125,0.0,8737.237560556801
"(331, 287)",ugriz,100000000.0,832357900.6800779,4041585899142.96,-6506.81298828125,57584.421875,0.27815792,28519.289995007864,100000000.0,-321826940665.8925,7850932715252363.0,-65977.609375,1158.6710205078125,0.0,13.619133547117396,100000000.0,46609652.284981064,384335177973.19916,-1762.1302490234375,12288.1787109375,0.89081458,18473.845074533445,100000000.0,75389521564.31837,5.366379353814702e+16,-209762.515625,1030734.5,0.0,998.0295861656649,100000000.0,-9621256047549.559,4.0410727121631657e+18,-1164377.375,2852.33837890625,0.0,6.963192942166533
"(248, 289)",ugriz,100000000.0,137508316.82489744,1703707878935.2576,-2193.572021484375,37903.66015625,0.00034449,41972.421905755786,100000000.0,5700738.243229673,991834697.3857609,-67.53791809082031,1506.072265625,0.0,32476.168506326492,100000000.0,356711627.89154726,1667558251701.8276,-1544.396484375,12435.3046875,2.137e-05,3257.5210338276097,100000000.0,43690082917.68207,2.318197051110115e+16,-145956.90625,744652.0,0.0,1233.2531658301916,100000000.0,15301461.374204546,2918051008.6232834,-25.639822006225586,2397.66943359375,0.0,21856.39011911082
