,ID,ra,dec,re,morph1,morph2,morph3,morph4
92,60,188.0625,11.3969444444444,7.88311831752177,TBD,TBD,TBD,TBD
93,61,188.3,11.215,7.88311831752177,TBD,TBD,TBD,TBD
94,77,192.133333333333,11.4558333333333,7.88311831752177,TBD,TBD,TBD,TBD
95,81,192.65,11.3880555555556,7.88311831752177,TBD,TBD,TBD,TBD
96,82,192.545833333333,11.47,7.88311831752177,TBD,TBD,TBD,TBD
97,91,189.5,11.5747222222222,7.88311831752177,TBD,TBD,TBD,TBD
98,96,188.708333333333,11.8205555555556,7.88311831752177,TBD,TBD,TBD,TBD
99,99,190.425,11.6130555555556,7.88311831752177,TBD,TBD,TBD,TBD
100,101,191.291666666667,11.6886111111111,7.88311831752177,TBD,TBD,TBD,TBD
101,102,191.220833333333,11.5597222222222,7.88311831752177,TBD,TBD,TBD,TBD
102,104,190.908333333333,11.6222222222222,7.88311831752177,TBD,TBD,TBD,TBD
103,105,191.179166666667,11.8363888888889,7.88311831752177,TBD,TBD,TBD,TBD
104,120,189.075,11.9533333333333,7.88311831752177,TBD,TBD,TBD,TBD
105,123,188.758333333333,11.9480555555556,7.88311831752177,TBD,TBD,TBD,TBD
106,124,188.775,11.9041666666667,7.88311831752177,TBD,TBD,TBD,TBD
107,132,191.095833333333,12.0097222222222,7.88311831752177,TBD,TBD,TBD,TBD
108,133,191.2375,12.1566666666667,7.88311831752177,TBD,TBD,TBD,TBD
109,136,191.866666666667,12.1972222222222,7.88311831752177,TBD,TBD,TBD,TBD
110,149,189.075,12.2488888888889,7.88311831752177,TBD,TBD,TBD,TBD
111,155,188.8375,12.4916666666667,7.88311831752177,TBD,TBD,TBD,TBD
112,159,189.941666666667,12.4633333333333,7.88311831752177,TBD,TBD,TBD,TBD
113,168,191.145833333333,12.3094444444444,7.88311831752177,TBD,TBD,TBD,TBD
114,169,191.704166666667,12.1952777777778,7.88311831752177,TBD,TBD,TBD,TBD
115,190,192.9125,10.8652777777778,7.88311831752177,TBD,TBD,TBD,TBD
116,191,193.354166666667,11.1613888888889,7.88311831752177,TBD,TBD,TBD,TBD
117,192,193.345833333333,11.1475,7.88311831752177,TBD,TBD,TBD,TBD
118,193,193.233333333333,11.0488888888889,7.88311831752177,TBD,TBD,TBD,TBD
119,195,193.1125,11.1558333333333,7.88311831752177,TBD,TBD,TBD,TBD
120,196,193.845833333333,10.9183333333333,7.88311831752177,TBD,TBD,TBD,TBD
121,198,193.608333333333,10.9025,7.88311831752177,TBD,TBD,TBD,TBD
122,199,193.604166666667,11.1588888888889,7.88311831752177,TBD,TBD,TBD,TBD
123,200,194.329166666667,10.9991666666667,7.88311831752177,TBD,TBD,TBD,TBD
124,201,194.2375,10.9997222222222,7.88311831752177,TBD,TBD,TBD,TBD
125,202,193.979166666667,11.0061111111111,7.88311831752177,TBD,TBD,TBD,TBD
126,203,194.095833333333,11.1836111111111,7.88311831752177,TBD,TBD,TBD,TBD
127,205,192.991666666667,11.39,7.88311831752177,TBD,TBD,TBD,TBD
128,206,193.066666666667,11.4488888888889,7.88311831752177,TBD,TBD,TBD,TBD
129,207,194.154166666667,11.4408333333333,7.88311831752177,TBD,TBD,TBD,TBD
130,208,194.7,11.5302777777778,7.88311831752177,TBD,TBD,TBD,TBD
131,209,193.195833333333,11.5836111111111,7.88311831752177,TBD,TBD,TBD,TBD
132,210,193.204166666667,11.7686111111111,7.88311831752177,TBD,TBD,TBD,TBD
133,211,194.408333333333,11.6505555555556,7.88311831752177,TBD,TBD,TBD,TBD
134,212,194.8375,11.6494444444444,7.88311831752177,TBD,TBD,TBD,TBD
135,213,193.320833333333,11.9786111111111,7.88311831752177,TBD,TBD,TBD,TBD
136,214,193.291666666667,11.8772222222222,7.88311831752177,TBD,TBD,TBD,TBD
137,215,193.9125,12.4388888888889,7.88311831752177,TBD,TBD,TBD,TBD
138,219,190.2125,11.4555555555556,7.88311831752177,TBD,TBD,TBD,TBD
139,223,188.029166666667,11.3419444444444,7.88311831752177,TBD,TBD,TBD,TBD
140,224,187.95,10.9691666666667,7.88311831752177,TBD,TBD,TBD,TBD
141,225,191.395833333333,11.4802777777778,7.88311831752177,TBD,TBD,TBD,TBD
142,229,191.145833333333,12.3094444444444,7.88311831752177,TBD,TBD,TBD,TBD
143,230,188.65,11.0730555555556,7.88311831752177,TBD,TBD,TBD,TBD
144,233,189.695833333333,12.2380555555556,7.88311831752177,TBD,TBD,TBD,TBD
145,234,192.820833333333,12.1705555555556,7.88311831752177,TBD,TBD,TBD,TBD
146,1,184.71125,15.905,18,TBD,TBD,TBD,TBD
147,3,184.880416666667,16.4083333333333,4,TBD,TBD,TBD,TBD
148,6,185.305416666667,16.2936111111111,4.5,TBD,TBD,TBD,TBD
149,9,185.465833333333,13.5161111111111,5.5,TBD,TBD,TBD,TBD
150,10,185.475833333333,13.2505555555556,3.8,TBD,TBD,TBD,TBD
151,11,185.55125,13.1477777777778,4.6,TBD,TBD,TBD,TBD
152,13,185.621666666667,13.3158333333333,4.4,TBD,TBD,TBD,TBD
153,19,185.845416666667,13.0022222222222,1,TBD,TBD,TBD,TBD
154,20,185.892083333333,13.2997222222222,0.9,TBD,TBD,TBD,TBD
155,21,185.971666666667,13.5063888888889,3.4,TBD,TBD,TBD,TBD
156,22,185.9775,13.1822222222222,10,TBD,TBD,TBD,TBD
158,29,186.11,13.4683333333333,12,TBD,TBD,TBD,TBD
159,36,186.28875,13.1091666666667,5,TBD,TBD,TBD,TBD
160,37,186.2975,13.465,7,TBD,TBD,TBD,TBD
161,41,186.3475,13.4125,8,TBD,TBD,TBD,TBD
162,76,188.561666666667,12.7152777777778,13,TBD,TBD,TBD,TBD
163,79,188.873333333333,12.6830555555556,6,TBD,TBD,TBD,TBD
164,80,188.909166666667,12.6816666666667,16,TBD,TBD,TBD,TBD
165,85,189.2275,11.845,3,TBD,TBD,TBD,TBD
166,88,189.316666666667,11.6633333333333,6,TBD,TBD,TBD,TBD
167,90,189.330833333333,11.8702777777778,7,TBD,TBD,TBD,TBD
168,91,189.33125,11.5316666666667,5,TBD,TBD,TBD,TBD
169,93,189.362083333333,12.36,2.4,TBD,TBD,TBD,TBD
170,96,189.407083333333,12.4775,20,TBD,TBD,TBD,TBD
171,99,189.527083333333,12.2972222222222,4,TBD,TBD,TBD,TBD
172,100,189.5475,12.6686111111111,3,TBD,TBD,TBD,TBD
173,103,189.61,11.6533333333333,5,TBD,TBD,TBD,TBD
174,105,189.661666666667,11.4816666666667,3.7,TBD,TBD,TBD,TBD
175,107,189.682916666667,11.875,3.5,TBD,TBD,TBD,TBD
176,108,189.685,11.9486111111111,15,TBD,TBD,TBD,TBD
177,109,189.689166666667,11.1472222222222,3.9,TBD,TBD,TBD,TBD
178,110,189.7575,12.2036111111111,10,TBD,TBD,TBD,TBD
179,115,189.903333333333,11.1113888888889,8,TBD,TBD,TBD,TBD
180,118,189.985,11.9044444444444,12.5,TBD,TBD,dE (d:E),TBD
181,119,189.985833333333,11.5713888888889,1.8,TBD,TBD,dE (d:E),TBD
182,120,189.989583333333,12.1130555555556,7,TBD,TBD,TBD,TBD
183,121,189.999166666667,12.1519444444444,2.3,TBD,TBD,TBD,TBD
184,122,190.006666666667,11.8791666666667,3.3,TBD,TBD,TBD,TBD
185,124,190.044166666667,11.4925,3.2,TBD,TBD,TBD,TBD
186,126,190.095,11.2269444444444,0.4,TBD,TBD,TBD,TBD
187,145,190.605416666667,11.7394444444444,5.8,TBD,TBD,TBD,TBD
188,147,190.700416666667,12.6466666666667,6,TBD,TBD,TBD,TBD
189,152,190.76,12.3033333333333,4,TBD,TBD,TBD,TBD
190,157,190.91,11.2977777777778,5.8,TBD,TBD,TBD,TBD
191,158,190.96,12.7055555555556,2.5,TBD,TBD,TBD,TBD
192,166,191.163333333333,12.3205555555556,5.1,TBD,TBD,TBD,TBD
193,172,191.317916666667,12.2483333333333,0.7,TBD,TBD,TBD,TBD
194,173,191.319166666667,12.1816666666667,2.2,TBD,TBD,TBD,TBD
195,178,191.694166666667,11.6552777777778,9,TBD,TBD,TBD,TBD
196,F1 ,189.94875,0.0408333333333333,8.4,TBD,TBD,TBD,TBD
197,F3 ,192.95875,-0.168888888888889,3.6,TBD,TBD,TBD,TBD
198,F4 ,193.505,0.0349999999999999,1.6,TBD,TBD,TBD,TBD
199,F5 ,193.65,-0.0444444444444444,8,TBD,TBD,TBD,TBD
200,F6 ,195.198333333333,-0.235833333333333,4,TBD,TBD,TBD,TBD
201,F7 ,198.235,-0.233333333333333,2,TBD,TBD,TBD,TBD
202,F8 ,198.673333333333,-0.0674999999999999,2.1,TBD,TBD,TBD,TBD
203,F9 ,198.684583333333,-0.0322222222222222,5,TBD,TBD,TBD,TBD
204,1,186.08182,12.32702,8.01307520026599,TBD,TBD,TBD,TBD
205,2,186.09055,12.60981,6.475464826424,TBD,TBD,TBD,TBD
206,3,186.17314,12.51108,2.43767498292023,TBD,TBD,TBD,TBD
207,4,186.18954,12.77586,1.72512383406662,TBD,TBD,TBD,TBD
208,5,186.25246,13.0401,5.17537150219987,TBD,TBD,TBD,TBD
209,6,186.3069,13.07214,4.83784727379553,TBD,TBD,TBD,TBD
210,7,186.32645,12.40963,3.45024766813325,TBD,TBD,TBD,TBD
211,8,186.33395,13.14852,11.3008112028712,TBD,TBD,TBD,TBD
212,9,186.35361,13.10954,4.18780061168347,TBD,TBD,TBD,TBD
213,10,186.3669,12.33431,7.07550789914282,TBD,TBD,TBD,TBD
214,11,186.41136,12.82371,2.98771446624582,TBD,TBD,TBD,TBD
215,12,186.43758,12.78776,1.62511665528015,TBD,TBD,TBD,TBD
216,13,186.44778,12.42193,4.58782932682936,TBD,TBD,TBD,TBD
217,14,186.50537,13.22742,4.73784009500906,TBD,TBD,TBD,TBD
218,15,186.54506,12.48158,6.12543970067135,TBD,TBD,TBD,TBD
219,16,186.57158,12.83289,3.92528176736899,TBD,TBD,TBD,TBD
220,19,186.61797,12.97582,1.25008973483089,TBD,TBD,TBD,TBD
221,24,186.76381,13.28985,2.86270549276273,TBD,TBD,TBD,TBD
222,25,186.76797,13.45586,2.85020459541442,TBD,TBD,TBD,TBD
223,32,186.83725,12.57477,2.06264806247096,TBD,TBD,TBD,TBD
224,37,186.95143,13.07543,2.6751920325381,TBD,TBD,TBD,TBD
225,42,187.07405,11.84793,5.71291008817715,TBD,TBD,TBD,TBD
226,43,187.0834,12.81626,1.87513460224633,TBD,TBD,TBD,TBD
227,51,187.21622,12.79762,2.38767139352699,TBD,TBD,TBD,TBD
228,58,187.39923,12.75197,1.67512024467339,TBD,TBD,TBD,TBD
229,70,187.6333,12.38538,1.51260857914537,TBD,TBD,TBD,TBD
